user_id,measurement_date,hours_streaming,hours_social,hours_messaging,hours_gaming,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,data_usage_category,streaming_data_gb,social_data_gb,messaging_data_gb,gaming_data_gb,total_data_gb
SUB7961848,2026-03-29,0.16,0.98,1.51,0.02,0,0,35-44,Postpaid_Basic,Premium_Smartphone,4G,Very_Light,0.1139,0.27805,0.02691,0.00106,0.48120999999999997
SUB3326344,2026-04-03,0.67,1.35,0.09,0.76,0,1,45-54,Postpaid_Premium,5G_Device,4G,Light,1.06417,0.32406,0.00128,0.14975,1.58501
SUB9930264,2026-04-14,3.1,0.92,0.75,1.6,0,0,18-24,Postpaid_Basic,Premium_Smartphone,4G,Moderate,2.67543,0.19735,0.00379,0.0867,3.09339
SUB1671253,2026-04-15,2.12,2.43,0.5,0.35,1,0,25-34,Postpaid_Basic,Mid_Range,3G,Light,0.8078200000000001,0.24509999999999998,0.0033399999999999997,0.02022,1.14246
SUB1970278,2026-03-27,0.83,0.14,0.3,0.75,0,0,35-44,Postpaid_Basic,Premium_Smartphone,5G,Moderate,1.8104500000000001,0.04107,0.00372,0.032100000000000004,2.07484
SUB9479025,2026-04-05,2.27,1.68,0.06,0.54,0,1,25-34,Postpaid_Basic,Premium_Smartphone,3G,Light,1.1076400000000002,0.19858,0.00047,0.08603,1.43101
SUB6529046,2026-04-03,1.46,1.54,1.25,0.21,1,0,35-44,Prepaid_Monthly,Mid_Range,5G,Moderate,2.59697,0.52379,0.01159,0.0189,2.92914
SUB2137411,2026-03-23,1.61,0.64,0.26,0.22,0,1,35-44,Postpaid_Basic,5G_Device,4G,Light,1.70407,0.12705,0.00428,0.01514,1.73872
SUB6752613,2026-04-10,1.11,2.49,0.27,0.33,0,1,45-54,Postpaid_Basic,Premium_Smartphone,4G,Light,0.78611,0.51767,0.00437,0.03551,1.33051
SUB6034253,2026-03-27,0.62,0.07,0.25,0.29,0,1,45-54,Prepaid_Monthly,Premium_Smartphone,4G,Light,0.68412,0.02047,0.0044599999999999996,0.03377,0.78044
SUB7136821,2026-04-03,1.49,1.7,0.15,2.42,1,1,45-54,Postpaid_Unlimited,Mid_Range,3G,Light,1.09703,0.13873,0.0023599999999999997,0.1045,1.26591
SUB9874365,2026-03-22,0.47,3.04,0.13,0.82,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,5G,Moderate,1.12094,1.21146,0.00198,0.09668,2.42755
SUB3389911,2026-03-27,0.29,1.41,0.3,0.39,0,0,45-54,Postpaid_Premium,Premium_Smartphone,5G,Light,0.70798,0.41006,0.005849999999999999,0.02644,1.30213
SUB3798658,2026-04-13,1.28,0.06,0.48,0.09,0,0,55+,Postpaid_Unlimited,Premium_Smartphone,5G,Moderate,3.35264,0.02088,0.004860000000000001,0.01531,3.3286
SUB6455249,2026-04-12,0.52,0.09,2.3,0.29,0,0,25-34,Postpaid_Premium,Mid_Range,4G,Light,0.8734,0.0156,0.02647,0.01627,0.95938
SUB3487111,2026-04-17,0.65,0.34,0.02,0.01,0,0,55+,Prepaid_Monthly,Mid_Range,4G,Light,0.56443,0.0708,0.00033,0.0016200000000000001,0.64547
SUB1254043,2026-04-01,2.47,0.66,4.0,0.55,1,0,25-34,Postpaid_Basic,Premium_Smartphone,4G,Moderate,2.04117,0.15453999999999998,0.031059999999999997,0.08162,2.3846100000000003
SUB7053912,2026-03-20,0.63,2.56,0.22,0.05,1,0,45-54,Postpaid_Premium,Mid_Range,4G,Light,0.7929400000000001,0.49751,0.00189,0.00932,1.3429
SUB2412210,2026-04-01,0.51,0.07,0.15,0.05,0,1,35-44,Prepaid_Daily,Basic_Phone,4G,Light,0.6032799999999999,0.01322,0.00136,0.00594,0.61548
SUB2208060,2026-03-26,2.05,3.6,0.67,0.62,1,0,35-44,Postpaid_Basic,Premium_Smartphone,4G+,Moderate,2.52354,0.88628,0.00528,0.0628,3.44212
SUB3661637,2026-04-15,6.75,2.18,1.24,0.97,1,0,18-24,Postpaid_Premium,Premium_Smartphone,5G,Power_User,21.02845,0.83288,0.02085,0.07798000000000001,24.06662
SUB9821549,2026-04-13,1.63,0.7,0.28,0.03,1,0,55+,Prepaid_Monthly,5G_Device,4G,Light,1.56334,0.11516,0.0017,0.00317,1.58121
SUB6017226,2026-03-23,0.82,1.6,0.2,0.29,0,0,35-44,Prepaid_Monthly,Premium_Smartphone,5G,Moderate,2.01417,0.5927100000000001,0.00395,0.023899999999999998,2.60148
SUB2197162,2026-04-09,0.84,0.8,3.5,1.52,0,0,18-24,Postpaid_Basic,Premium_Smartphone,4G,Light,0.96913,0.16649,0.041229999999999996,0.27270999999999995,1.49856
SUB9283032,2026-03-23,0.14,0.73,0.28,1.65,0,0,18-24,Prepaid_Monthly,Mid_Range,4G,Light,0.16082,0.11748,0.00526,0.27509,0.62639
SUB9625146,2026-04-16,0.23,1.13,0.07,0.62,0,0,25-34,Prepaid_Daily,Mid_Range,5G,Light,0.40261,0.37419,0.00108,0.11810999999999999,0.8779199999999999
SUB3165456,2026-03-23,1.84,1.18,0.27,0.47,1,0,18-24,Postpaid_Basic,Premium_Smartphone,3G,Light,0.74051,0.15865,0.00151,0.04008,1.03383
SUB2488543,2026-04-15,0.48,1.76,0.41,1.9,0,1,35-44,Postpaid_Unlimited,Mid_Range,4G,Light,0.7912100000000001,0.35298,0.00671,0.08188,1.29372
SUB5754417,2026-04-11,1.2,0.57,0.25,0.09,0,0,25-34,Postpaid_Unlimited,Mid_Range,3G,Light,0.65566,0.05561,0.00172,0.00705,0.76886
SUB9019213,2026-03-27,0.51,1.64,0.36,0.31,1,1,55+,Prepaid_Monthly,Premium_Smartphone,5G,Light,1.1779000000000002,0.44594,0.0019299999999999999,0.04206,1.65655
SUB2806684,2026-03-21,0.21,0.56,0.46,0.22,0,0,18-24,Prepaid_Monthly,Mid_Range,4G+,Light,0.26727999999999996,0.18383000000000002,0.0025800000000000003,0.03689,0.6172000000000001
SUB3575508,2026-03-21,2.9,0.29,0.54,0.01,1,0,35-44,Prepaid_Daily,Premium_Smartphone,5G,Heavy,7.23627,0.07684,0.00906,0.00088,7.93624
SUB9752084,2026-04-13,0.58,2.5,0.88,0.61,1,1,35-44,Postpaid_Unlimited,Tablet,4G,Light,1.04477,0.44051,0.01458,0.08895,1.64451
SUB8200262,2026-04-08,1.75,0.5,0.36,0.03,1,0,18-24,Prepaid_Monthly,Mid_Range,4G,Light,1.4789700000000001,0.12977,0.0056,0.00176,1.75648
SUB4257181,2026-03-28,8.0,0.18,0.41,0.88,1,0,18-24,Prepaid_Daily,Premium_Smartphone,4G,Heavy,8.71243,0.02899,0.00536,0.14361000000000002,8.803889999999999
SUB4049307,2026-04-09,0.84,0.55,0.05,2.1,1,1,35-44,Prepaid_Monthly,5G_Device,4G,Light,0.7935099999999999,0.12944999999999998,0.00073,0.24362,1.44652
SUB5925233,2026-03-25,8.0,4.95,0.22,0.49,0,0,18-24,Postpaid_Unlimited,5G_Device,5G,Power_User,22.980400000000003,1.81222,0.00131,0.02485,25.62325
SUB1789148,2026-04-03,0.37,0.1,0.14,0.05,0,0,35-44,Postpaid_Basic,Premium_Smartphone,5G,Light,0.67198,0.037520000000000005,0.00196,0.009380000000000001,0.79103
SUB7830707,2026-03-27,1.79,6.0,0.28,0.03,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,4G,Moderate,2.02231,1.7997999999999998,0.004849999999999999,0.00526,4.34037
SUB6560068,2026-03-31,1.8,1.14,0.26,1.57,0,1,25-34,Prepaid_Monthly,Mid_Range,4G,Light,1.3464800000000001,0.2871,0.00252,0.2036,1.94411
SUB4246417,2026-03-22,0.34,0.44,1.98,0.08,1,0,18-24,Postpaid_Premium,Mid_Range,3G,Very_Light,0.1733,0.06037,0.03959,0.012960000000000001,0.30251999999999996
SUB9218723,2026-04-16,2.36,4.24,0.21,0.05,0,0,25-34,Postpaid_Premium,Mid_Range,4G,Heavy,3.92814,1.1830699999999998,0.00367,0.006690000000000001,5.23682
SUB6679042,2026-03-19,1.02,1.05,0.6,0.38,0,1,45-54,Postpaid_Basic,5G_Device,4G+,Light,1.4170099999999999,0.31844,0.004200000000000001,0.04167,1.7651199999999998
SUB9568438,2026-04-04,1.34,0.19,1.18,6.0,1,0,18-24,Prepaid_Monthly,Premium_Smartphone,5G,Moderate,2.43822,0.05878,0.01072,1.01604,3.7438200000000004
SUB8031883,2026-03-30,0.95,3.38,0.44,0.12,0,1,25-34,Prepaid_Monthly,Mid_Range,4G,Light,1.00874,0.6701900000000001,0.00518,0.016079999999999997,1.69144
SUB8859371,2026-03-24,0.19,0.76,0.4,0.07,0,0,25-34,Prepaid_Daily,Premium_Smartphone,3G,Very_Light,0.06931999999999999,0.08957999999999999,0.00771,0.011800000000000001,0.21625999999999998
SUB9354207,2026-04-16,1.65,2.64,0.62,0.16,1,0,35-44,Postpaid_Premium,5G_Device,5G,Heavy,4.86682,0.81309,0.00518,0.03175,5.45109
SUB7562877,2026-03-19,0.27,0.67,0.06,0.07,0,0,45-54,Prepaid_Monthly,Mid_Range,3G,Very_Light,0.08199,0.05806,0.0010400000000000001,0.00674,0.18685
SUB7912880,2026-04-05,6.23,2.03,1.01,1.71,0,0,18-24,Postpaid_Unlimited,5G_Device,4G,Heavy,6.654979999999999,0.30712,0.018879999999999997,0.21447,7.0079899999999995
SUB9325648,2026-03-21,0.88,0.61,0.05,0.2,0,1,45-54,Postpaid_Premium,Basic_Phone,5G,Moderate,1.77233,0.2271,0.00064,0.02386,2.16179
SUB7945685,2026-04-04,1.02,0.24,0.31,1.17,1,0,35-44,Prepaid_Monthly,Mid_Range,4G,Light,0.8889900000000001,0.04167,0.0049900000000000005,0.15018,1.1875799999999999
SUB7810805,2026-04-01,1.49,2.21,1.11,0.03,0,0,45-54,Postpaid_Premium,Premium_Smartphone,4G,Moderate,2.25136,0.49227,0.01409,0.0038,2.6360300000000003
SUB5695154,2026-03-23,1.36,1.11,0.22,0.2,0,0,18-24,Postpaid_Basic,Premium_Smartphone,4G,Light,0.98372,0.31777999999999995,0.0034300000000000003,0.022690000000000002,1.38848
SUB2847865,2026-03-26,2.9,5.09,1.65,0.26,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,Heavy,5.97916,1.30698,0.01705,0.02607,7.30062
SUB8561743,2026-04-02,0.84,1.3,0.05,0.2,0,0,35-44,Postpaid_Basic,Basic_Phone,4G,Light,0.8500700000000001,0.28428,0.0007099999999999999,0.01771,1.2310999999999999
SUB2686279,2026-03-28,1.49,0.83,0.46,0.11,0,0,25-34,Postpaid_Premium,Basic_Phone,5G,Moderate,4.61999,0.295,0.00423,0.01881,4.933260000000001
SUB2960220,2026-04-15,1.79,0.48,0.15,0.08,0,0,45-54,Postpaid_Basic,5G_Device,4G,Light,1.74724,0.10826000000000001,0.00272,0.01247,1.93106
SUB6050405,2026-03-24,0.08,1.36,0.44,1.5,0,0,18-24,Postpaid_Basic,5G_Device,4G+,Light,0.08423,0.38955,0.006719999999999999,0.26087,0.76221
SUB7489759,2026-04-12,0.69,0.5,0.0,0.83,0,1,25-34,Postpaid_Basic,Mid_Range,3G,Light,0.29413,0.05824,0.0,0.10673,0.51418
SUB2454908,2026-04-08,0.98,3.12,1.12,1.53,0,1,35-44,Postpaid_Basic,Premium_Smartphone,4G,Light,0.96802,0.61153,0.01443,0.17169,1.7293699999999999
SUB7775996,2026-03-20,0.53,0.07,0.39,0.03,0,0,45-54,Postpaid_Basic,Mid_Range,3G,Very_Light,0.25025,0.0065899999999999995,0.00195,0.00492,0.26832999999999996
SUB5811071,2026-03-22,2.42,3.78,0.36,0.0,0,1,35-44,Postpaid_Basic,Premium_Smartphone,5G,Heavy,4.72681,1.42771,0.00515,0.0,6.49889
SUB4051622,2026-03-31,0.64,0.05,0.3,0.07,1,0,45-54,Prepaid_Monthly,Basic_Phone,5G,Light,1.42439,0.01533,0.00327,0.01238,1.37239
SUB1834938,2026-03-20,0.63,3.28,0.13,0.03,0,0,18-24,Prepaid_Daily,5G_Device,5G,Moderate,1.22855,1.13394,0.00164,0.00132,2.58365
SUB4999143,2026-03-22,1.16,1.64,1.21,0.03,0,1,45-54,Prepaid_Monthly,Tablet,4G,Light,1.218,0.28502999999999995,0.01984,0.0046500000000000005,1.5273299999999999
SUB9718936,2026-04-12,3.89,2.71,0.14,0.24,1,0,45-54,Postpaid_Basic,Tablet,5G,Heavy,6.04266,0.77975,0.00121,0.02093,7.01552
SUB6641335,2026-03-20,1.56,1.67,0.57,0.12,0,0,25-34,Postpaid_Basic,Tablet,4G,Light,1.56089,0.32199,0.00354,0.01765,1.9868599999999998
SUB7509676,2026-04-17,1.41,1.4,1.39,0.35,0,1,45-54,Postpaid_Unlimited,5G_Device,4G,Moderate,2.49279,0.37589999999999996,0.00735,0.03008,2.95412
SUB9875943,2026-03-30,1.43,0.56,1.27,0.17,0,1,45-54,Prepaid_Daily,Premium_Smartphone,4G,Light,1.54416,0.12365000000000001,0.00948,0.013710000000000002,1.7467000000000001
SUB2647824,2026-04-09,3.21,2.78,0.94,0.82,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,Heavy,5.7969,0.8354600000000001,0.01176,0.05924,6.85096
SUB1211463,2026-03-19,1.19,5.04,0.54,0.87,0,1,45-54,Postpaid_Premium,Premium_Smartphone,5G,Moderate,2.5516900000000002,1.85291,0.0089,0.06639,4.48876
SUB3503821,2026-03-28,1.03,6.0,0.68,0.48,0,0,35-44,Postpaid_Premium,Premium_Smartphone,5G,Moderate,3.0890500000000003,2.23952,0.00507,0.06776,5.07974
SUB8676431,2026-04-08,0.59,2.43,0.03,0.02,1,0,35-44,Postpaid_Premium,Premium_Smartphone,4G,Light,1.09114,0.46464,0.00043,0.00152,1.64294
SUB6327580,2026-03-19,0.21,2.81,0.55,0.05,0,0,45-54,Postpaid_Basic,Mid_Range,5G,Light,0.31514,0.72629,0.00839,0.0033599999999999997,1.0276800000000001
SUB8313861,2026-04-05,0.12,1.22,0.42,0.3,0,1,35-44,Postpaid_Premium,Mid_Range,3G,Very_Light,0.05955,0.16877,0.00671,0.03575,0.28744
SUB8863426,2026-04-13,0.33,0.81,0.18,0.15,0,1,35-44,Postpaid_Premium,Basic_Phone,4G,Light,0.55703,0.23211,0.0013,0.00962,0.85564
SUB2906039,2026-03-31,3.24,4.83,0.06,0.6,0,0,18-24,Prepaid_Monthly,5G_Device,5G,Heavy,5.822430000000001,1.58331,0.0010500000000000002,0.1008,7.89243
SUB9596108,2026-03-29,0.26,1.11,0.86,0.01,1,0,35-44,Prepaid_Daily,Mid_Range,5G,Light,0.59392,0.38748,0.01638,0.00125,1.13626
SUB5455237,2026-03-20,5.44,1.5,0.45,0.12,0,0,25-34,Postpaid_Unlimited,5G_Device,5G,Power_User,16.77072,0.42489,0.00249,0.01139,17.90178
SUB3211130,2026-03-24,0.45,0.94,0.1,0.01,0,0,35-44,Prepaid_Daily,Mid_Range,4G,Light,0.32556,0.26252,0.00095,0.00083,0.6744199999999999
SUB6790740,2026-03-30,2.27,2.17,0.17,0.01,0,0,18-24,Postpaid_Basic,5G_Device,5G,Moderate,4.22797,0.5721799999999999,0.00246,0.00117,4.654439999999999
SUB7905043,2026-04-03,7.3,1.02,0.81,0.26,0,1,25-34,Postpaid_Basic,Premium_Smartphone,4G+,Heavy,8.1324,0.20874,0.01014,0.03263,8.587399999999999
SUB8170837,2026-04-09,1.17,0.42,0.21,0.12,1,0,55+,Prepaid_Daily,5G_Device,4G+,Moderate,1.8725399999999999,0.09013,0.00217,0.0076,2.0509
SUB2901737,2026-04-06,0.63,3.0,0.46,0.8,0,0,25-34,Prepaid_Daily,5G_Device,5G,Moderate,1.45129,1.17434,0.00764,0.13779,2.77418
SUB1883435,2026-04-12,3.78,2.71,2.29,0.11,1,0,25-34,Postpaid_Unlimited,Premium_Smartphone,4G+,Heavy,6.63614,0.92851,0.04333,0.00864,7.04175
SUB7679155,2026-04-14,0.85,1.66,0.34,3.22,0,1,25-34,Postpaid_Unlimited,Premium_Smartphone,4G,Light,0.80645,0.40401,0.00484,0.28435000000000005,1.71466
SUB3153883,2026-04-08,1.9,0.54,0.86,0.55,1,0,35-44,Prepaid_Daily,Mid_Range,4G,Light,1.70465,0.09171,0.00691,0.02989,1.88175
SUB4943439,2026-03-22,2.28,2.22,0.67,1.16,0,1,18-24,Prepaid_Monthly,Tablet,4G,Moderate,2.04617,0.35808999999999996,0.01016,0.16183,2.80634
SUB4343473,2026-03-22,1.87,0.7,0.19,1.02,0,0,35-44,Postpaid_Premium,Mid_Range,5G,Heavy,5.34163,0.20229,0.00257,0.051590000000000004,6.16354
SUB7687764,2026-03-19,0.16,0.62,0.13,0.05,0,0,25-34,Prepaid_Daily,Mid_Range,4G,Very_Light,0.1691,0.1038,0.0007700000000000001,0.00852,0.36043000000000003
SUB1995791,2026-04-03,3.56,1.88,0.75,1.73,0,0,25-34,Postpaid_Unlimited,5G_Device,5G,Power_User,13.3593,0.73336,0.00715,0.28298,13.09109
SUB3013338,2026-04-01,4.83,3.36,0.02,0.75,0,0,35-44,Postpaid_Unlimited,Mid_Range,4G,Heavy,5.66822,0.57562,0.00029,0.03375,6.1024899999999995
SUB7722841,2026-04-02,0.51,2.56,0.55,0.47,1,0,25-34,Prepaid_Daily,Premium_Smartphone,4G,Light,0.47875,0.39325,0.01086,0.04444,0.899
SUB7620661,2026-04-04,1.16,0.84,0.03,0.49,1,1,55+,Postpaid_Basic,Premium_Smartphone,4G+,Light,1.28269,0.27438,0.00049,0.03519,1.7197
SUB2967582,2026-04-06,5.39,4.69,2.69,1.67,1,0,18-24,Postpaid_Unlimited,5G_Device,4G,Heavy,7.61398,0.86121,0.01602,0.2371,9.06652
SUB4429985,2026-04-11,1.54,0.92,0.16,0.49,1,0,35-44,Prepaid_Monthly,Premium_Smartphone,5G,Moderate,3.2123600000000003,0.28451,0.0023599999999999997,0.09251999999999999,4.10062
SUB8235574,2026-04-14,0.27,1.17,0.01,1.67,0,0,35-44,Postpaid_Premium,5G_Device,4G,Light,0.30376,0.3358,8e-05,0.11061,0.77404
SUB6323940,2026-04-09,1.65,1.16,0.1,0.11,1,0,18-24,Postpaid_Premium,Mid_Range,3G,Light,1.24502,0.11779,0.0014299999999999998,0.01474,1.31619
SUB4720464,2026-03-24,0.63,0.24,0.11,0.0,0,1,55+,Postpaid_Basic,Premium_Smartphone,5G,Light,1.41114,0.08743000000000001,0.00099,0.0,1.56892
SUB3873524,2026-03-29,1.42,0.29,0.47,0.07,0,0,25-34,Postpaid_Basic,Basic_Phone,4G,Light,1.64673,0.06943,0.00649,0.011529999999999999,1.9297
SUB7726451,2026-03-23,8.0,6.0,2.76,2.01,1,0,25-34,Postpaid_Premium,5G_Device,4G,Power_User,11.864709999999999,1.77978,0.04516,0.3862,15.34742
SUB7215140,2026-04-05,4.07,0.98,3.21,0.45,0,0,25-34,Postpaid_Premium,Premium_Smartphone,4G,Heavy,5.4211800000000006,0.16763999999999998,0.02089,0.03327,5.24904
SUB6858338,2026-04-14,1.28,0.64,1.28,0.6,0,0,18-24,Prepaid_Monthly,5G_Device,4G,Light,1.37703,0.16841,0.00757,0.05724,1.8875
SUB9411603,2026-03-31,0.21,0.79,0.23,0.31,0,0,35-44,Postpaid_Premium,Basic_Phone,4G,Very_Light,0.30219,0.13825,0.00131,0.05982,0.47387
SUB7039523,2026-04-13,0.06,0.8,0.39,0.0,0,1,45-54,Prepaid_Monthly,Premium_Smartphone,4G,Very_Light,0.06513,0.12658,0.0055899999999999995,0.0,0.24631
SUB2371242,2026-04-09,0.15,0.14,0.03,0.17,0,0,35-44,Postpaid_Premium,Basic_Phone,5G,Light,0.48313,0.04667,0.00023,0.019039999999999998,0.5415599999999999
SUB5437610,2026-04-15,6.74,2.71,4.0,2.72,1,1,25-34,Postpaid_Premium,5G_Device,5G,Power_User,19.96308,0.68591,0.03692,0.17534,21.60562
SUB1101894,2026-04-15,0.33,0.14,0.23,0.12,1,0,45-54,Postpaid_Unlimited,Mid_Range,4G,Light,0.56802,0.02683,0.00232,0.00696,0.7080700000000001
SUB6830395,2026-04-07,0.73,0.84,0.02,0.93,0,0,35-44,Prepaid_Monthly,5G_Device,4G,Light,0.54561,0.12786,0.00028000000000000003,0.16193000000000002,0.8625700000000001
SUB2873421,2026-04-14,1.23,0.42,0.06,0.51,0,0,45-54,Prepaid_Monthly,5G_Device,5G,Moderate,1.90253,0.1462,0.0011899999999999999,0.07304000000000001,2.05588
SUB4535443,2026-03-26,0.36,0.75,0.04,0.67,1,0,18-24,Postpaid_Unlimited,Basic_Phone,3G,Very_Light,0.16383,0.10578,0.00039,0.057229999999999996,0.31053
SUB4133211,2026-03-30,0.37,1.0,0.16,0.15,0,0,35-44,Postpaid_Unlimited,Premium_Smartphone,3G,Very_Light,0.25533,0.08195000000000001,0.00277,0.02364,0.41146
SUB8783874,2026-03-19,1.67,6.0,0.3,1.61,0,0,18-24,Postpaid_Unlimited,5G_Device,4G+,Heavy,3.2503699999999998,1.9166400000000001,0.00556,0.29267000000000004,5.58982
SUB4266402,2026-04-05,0.06,0.1,0.0,0.09,0,0,25-34,Prepaid_Monthly,Basic_Phone,3G,Very_Light,0.018260000000000002,0.00899,0.0,0.01715,0.06146
SUB5257341,2026-04-16,2.74,1.51,1.51,0.03,1,0,18-24,Postpaid_Unlimited,Mid_Range,4G,Heavy,4.59903,0.37410000000000004,0.01188,0.00426,5.4078599999999994
SUB7289270,2026-03-30,1.25,4.12,0.19,0.22,0,0,45-54,Postpaid_Unlimited,Mid_Range,4G,Moderate,1.5384,0.67871,0.00215,0.02552,2.48943
SUB8225529,2026-03-27,0.64,0.4,0.01,0.0,0,0,55+,Prepaid_Monthly,Premium_Smartphone,4G,Light,0.69279,0.08093,0.00017999999999999998,0.0,0.8883
SUB8139845,2026-04-10,2.85,0.28,0.43,0.03,0,0,45-54,Postpaid_Premium,Mid_Range,5G,Heavy,6.91563,0.07979,0.00321,0.00252,7.44763
SUB5814647,2026-04-11,1.37,0.4,0.71,0.24,0,0,35-44,Postpaid_Premium,5G_Device,4G+,Moderate,3.17083,0.08726,0.0069299999999999995,0.02367,3.3759
SUB2136263,2026-04-02,5.81,6.0,1.13,5.61,0,1,25-34,Postpaid_Unlimited,Premium_Smartphone,4G,Heavy,8.58217,1.43768,0.01045,0.2868,9.95991
SUB6312399,2026-04-02,0.11,2.34,0.07,0.0,0,0,25-34,Prepaid_Monthly,Basic_Phone,5G,Light,0.21467,0.9018400000000001,0.00101,0.0,1.17473
SUB8110953,2026-03-25,0.86,0.5,0.32,0.07,0,0,45-54,Prepaid_Daily,5G_Device,3G,Very_Light,0.26494999999999996,0.04747,0.00261,0.010150000000000001,0.3998
SUB2323483,2026-04-14,0.42,0.52,0.47,0.01,0,0,45-54,Postpaid_Unlimited,Premium_Smartphone,4G+,Light,0.80636,0.16551,0.008369999999999999,0.0012900000000000001,1.09275
SUB3918634,2026-04-04,5.4,1.49,0.09,0.01,0,0,25-34,Postpaid_Premium,Mid_Range,5G,Power_User,17.98486,0.48646,0.00067,0.00058,20.13032
SUB5003487,2026-04-08,0.05,0.62,0.61,0.19,0,0,25-34,Prepaid_Monthly,5G_Device,3G,Very_Light,0.017079999999999998,0.09037,0.005889999999999999,0.03723,0.17434
SUB2841646,2026-04-01,3.66,2.12,0.81,1.44,0,1,45-54,Postpaid_Unlimited,Premium_Smartphone,4G,Heavy,5.84171,0.5898300000000001,0.00903,0.16379,6.02818
SUB3870741,2026-04-04,0.74,1.05,0.75,0.03,0,0,35-44,Postpaid_Basic,Premium_Smartphone,3G,Very_Light,0.36221,0.08786,0.0042699999999999995,0.0030499999999999998,0.49348000000000003
SUB9410184,2026-03-29,0.27,0.84,0.42,0.06,0,0,25-34,Prepaid_Daily,Mid_Range,5G,Light,0.49886,0.32944,0.00363,0.004,0.9301900000000001
SUB6297340,2026-04-11,1.08,0.48,0.02,0.04,0,0,45-54,Prepaid_Monthly,Mid_Range,4G,Light,0.99379,0.11372,0.00011999999999999999,0.00431,1.1828299999999998
SUB5077411,2026-03-28,1.15,0.59,0.74,0.54,0,0,35-44,Prepaid_Monthly,5G_Device,4G,Light,0.9708600000000001,0.16236,0.013269999999999999,0.0499,1.15128
SUB3758566,2026-04-17,6.02,6.0,3.28,3.72,1,0,18-24,Postpaid_Premium,Premium_Smartphone,5G,Power_User,21.012490000000003,2.26436,0.05838,0.46895,25.287740000000003
SUB5837502,2026-04-06,3.51,1.92,0.25,0.3,0,1,25-34,Prepaid_Monthly,5G_Device,4G+,Heavy,5.08913,0.49357,0.00273,0.05874,5.3421899999999996
SUB4001519,2026-04-07,1.9,2.59,0.23,0.0,0,0,25-34,Postpaid_Basic,Premium_Smartphone,4G,Moderate,1.80299,0.7177100000000001,0.00415,0.0,2.50854
SUB7062903,2026-03-28,4.56,1.26,0.33,0.36,1,1,25-34,Prepaid_Monthly,Mid_Range,5G,Heavy,8.13104,0.32721,0.0048,0.01893,9.056709999999999
