user_id,hours_streaming,hours_social,hours_messaging,hours_gaming,background_data_mb,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,measurement_date
SUB1542335,0.1,0.01,0.06,0.05,30.52,0,0,55+,Prepaid_Daily,Basic_Phone,4G,2026-04-01
SUB5270070,3.59,2.05,0.11,0.24,119.8,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,4G,2026-04-13
SUB7700379,1.15,0.88,0.96,0.04,120.32,0,0,35-44,Prepaid_Monthly,Premium_Smartphone,5G,2026-04-17
SUB4560920,0.48,3.34,0.56,1.93,96.89,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G+,2026-03-21
SUB7860006,1.15,0.13,0.12,0.08,26.2,0,0,18-24,Prepaid_Daily,Mid_Range,3G,2026-04-16
SUB3484413,0.3,0.25,0.6,0.07,37.9,0,0,18-24,Prepaid_Monthly,Basic_Phone,5G,2026-03-24
SUB3907360,1.3,0.4,2.36,0.45,61.45,0,0,25-34,Prepaid_Monthly,Premium_Smartphone,4G,2026-03-22
SUB6895544,0.24,1.81,0.56,0.08,22.7,0,0,25-34,Postpaid_Unlimited,Basic_Phone,5G,2026-04-01
SUB6697469,0.58,1.82,0.09,0.9,69.33,0,0,35-44,Postpaid_Basic,5G_Device,4G,2026-03-19
SUB3235000,0.51,0.19,0.17,0.3,35.9,0,0,18-24,Postpaid_Basic,Mid_Range,3G,2026-03-30
SUB7908531,0.24,0.07,0.0,0.42,75.72,0,0,55+,Prepaid_Monthly,Mid_Range,5G,2026-03-25
SUB5322252,0.23,0.76,0.32,0.48,96.82,0,0,18-24,Prepaid_Daily,Mid_Range,5G,2026-03-25
SUB6822184,1.59,0.5,0.59,1.0,83.23,0,0,35-44,Prepaid_Monthly,Premium_Smartphone,4G+,2026-04-06
SUB1402690,0.48,0.97,1.49,0.08,78.77,0,0,35-44,Postpaid_Premium,5G_Device,4G,2026-03-22
SUB3548421,0.38,4.03,0.04,0.04,57.87,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,3G,2026-04-03
SUB2954109,1.91,0.25,0.22,0.03,29.37,0,0,18-24,Postpaid_Basic,Basic_Phone,4G,2026-03-21
SUB5422880,1.65,1.28,0.12,0.02,143.32,0,0,45-54,Prepaid_Monthly,5G_Device,5G,2026-04-12
SUB8205547,1.34,0.25,0.32,0.0,21.17,0,1,45-54,Postpaid_Premium,Basic_Phone,4G,2026-03-31
SUB9323735,2.41,6.0,0.14,1.96,161.15,0,1,25-34,Postpaid_Premium,Premium_Smartphone,5G,2026-03-20
SUB7457294,1.44,1.92,0.14,0.04,40.03,0,0,25-34,Prepaid_Daily,5G_Device,3G,2026-04-07
SUB2384250,0.41,0.21,0.0,0.0,30.56,0,0,25-34,Prepaid_Monthly,Mid_Range,3G,2026-03-22
SUB1061087,3.19,1.88,0.02,1.09,76.78,0,0,18-24,Postpaid_Premium,Mid_Range,5G,2026-04-05
SUB7409907,0.51,0.11,0.05,0.14,12.18,1,0,35-44,Postpaid_Basic,Basic_Phone,4G,2026-03-28
SUB2496176,0.25,1.56,0.85,0.94,104.27,0,0,45-54,Postpaid_Unlimited,5G_Device,4G,2026-03-19
SUB1039353,8.0,0.52,0.11,2.72,112.86,0,0,25-34,Postpaid_Unlimited,Premium_Smartphone,5G,2026-04-07
SUB7484531,0.38,0.29,0.04,0.19,28.12,1,0,55+,Prepaid_Daily,Mid_Range,3G,2026-03-22
SUB4360011,8.0,3.5,4.0,0.1,72.71,1,0,18-24,Postpaid_Premium,Mid_Range,5G,2026-04-10
SUB8654909,0.92,0.97,0.26,0.1,70.36,1,0,35-44,Prepaid_Monthly,Premium_Smartphone,3G,2026-03-31
SUB5259622,2.43,2.17,0.51,0.27,53.84,0,0,25-34,Postpaid_Premium,Mid_Range,5G,2026-04-08
SUB5959617,1.3,2.0,4.0,1.3,72.92,0,1,25-34,Postpaid_Basic,Mid_Range,4G,2026-03-26
SUB6725570,5.01,4.52,0.17,0.05,139.64,1,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,2026-03-26
SUB1416880,1.9,4.19,0.45,1.51,165.9,1,0,25-34,Postpaid_Unlimited,Premium_Smartphone,5G,2026-04-09
SUB8072695,0.43,6.0,0.35,1.64,56.0,1,1,35-44,Postpaid_Premium,Mid_Range,4G,2026-04-07
SUB8433296,3.06,3.11,0.02,0.89,35.23,1,0,35-44,Postpaid_Unlimited,Mid_Range,4G,2026-03-27
SUB5965050,1.59,0.2,0.57,0.99,58.61,1,0,25-34,Prepaid_Monthly,5G_Device,3G,2026-04-05
SUB1813168,0.14,0.1,0.13,0.05,51.15,0,0,45-54,Prepaid_Monthly,Mid_Range,4G+,2026-03-31
SUB1225281,1.5,2.21,3.26,1.74,75.61,0,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,2026-04-05
SUB4782875,3.33,5.6,0.99,0.26,113.6,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,2026-03-22
SUB3995765,1.3,1.23,0.11,0.24,16.86,0,0,18-24,Prepaid_Monthly,Mid_Range,3G,2026-04-02
SUB8734102,4.21,2.26,0.37,0.01,129.86,0,1,18-24,Prepaid_Daily,Premium_Smartphone,4G+,2026-04-09
SUB6595108,0.26,1.33,0.35,0.02,53.18,0,0,25-34,Prepaid_Monthly,Premium_Smartphone,3G,2026-04-10
SUB6674719,2.59,0.19,0.32,0.58,43.52,0,0,35-44,Postpaid_Basic,Premium_Smartphone,4G,2026-03-19
SUB9658144,0.95,2.15,4.0,0.49,120.96,1,0,35-44,Postpaid_Premium,Premium_Smartphone,4G,2026-04-11
SUB7609280,8.0,0.17,2.86,3.48,195.55,1,0,25-34,Postpaid_Premium,5G_Device,5G,2026-04-16
SUB6500306,1.0,0.97,4.0,0.2,89.81,1,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G,2026-04-07
SUB5372093,3.41,1.93,0.45,0.15,78.66,1,0,25-34,Postpaid_Premium,Mid_Range,4G,2026-04-12
SUB2561729,0.19,0.04,0.06,0.16,18.8,0,0,35-44,Prepaid_Monthly,Basic_Phone,4G,2026-03-23
SUB6031595,0.43,1.01,0.39,0.21,17.2,0,1,35-44,Postpaid_Basic,Basic_Phone,4G,2026-03-22
SUB6478047,1.84,6.0,3.69,0.89,93.43,0,1,18-24,Postpaid_Premium,5G_Device,4G+,2026-04-14
SUB2119043,2.4,1.93,0.64,1.1,125.6,0,1,18-24,Postpaid_Unlimited,5G_Device,5G,2026-03-27
SUB8103230,0.1,0.04,0.15,0.07,19.34,0,0,45-54,Prepaid_Daily,Basic_Phone,4G,2026-04-12
SUB3558231,1.41,0.31,0.15,0.19,101.95,0,0,18-24,Prepaid_Daily,Premium_Smartphone,4G,2026-04-09
SUB7659908,1.8,0.31,0.18,0.56,40.71,0,0,18-24,Prepaid_Daily,Mid_Range,5G,2026-04-01
SUB4080389,6.44,3.41,0.62,2.41,60.31,0,1,18-24,Postpaid_Basic,5G_Device,4G,2026-03-30
SUB2661909,0.13,1.64,0.24,0.27,35.51,0,0,25-34,Prepaid_Daily,Mid_Range,4G,2026-04-13
SUB3656138,0.21,2.06,0.09,1.73,40.5,0,1,25-34,Postpaid_Premium,Premium_Smartphone,3G,2026-04-06
SUB1110078,0.5,0.7,0.38,0.12,19.96,0,0,35-44,Postpaid_Premium,Mid_Range,3G,2026-03-29
SUB2915631,1.5,0.35,0.44,0.01,41.63,0,0,25-34,Prepaid_Monthly,Mid_Range,4G,2026-04-11
SUB7314127,1.78,0.74,0.18,1.21,52.19,0,0,35-44,Postpaid_Basic,Mid_Range,4G,2026-03-22
SUB3008187,5.93,1.6,4.0,0.23,90.09,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G+,2026-04-01
SUB2659066,0.24,3.03,1.02,0.04,50.45,0,0,45-54,Postpaid_Basic,Mid_Range,5G,2026-04-03
SUB3148815,1.51,0.62,0.37,0.32,39.04,0,0,35-44,Prepaid_Monthly,Mid_Range,3G,2026-04-02
SUB8355740,1.46,1.67,0.25,0.08,83.54,1,1,35-44,Prepaid_Monthly,Mid_Range,5G,2026-04-02
SUB5506259,1.71,0.3,0.91,1.07,73.75,0,0,18-24,Postpaid_Basic,Premium_Smartphone,5G,2026-04-13
SUB8473915,3.24,2.28,0.26,1.13,77.27,0,0,18-24,Prepaid_Daily,5G_Device,4G,2026-03-24
SUB8658426,0.47,4.07,1.38,0.73,150.47,1,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,2026-03-29
SUB7404003,1.07,6.0,1.21,0.16,84.0,0,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,2026-04-05
SUB5135314,3.22,2.8,0.61,0.8,49.58,0,0,18-24,Postpaid_Premium,Mid_Range,4G,2026-03-22
SUB1910681,0.6,0.44,0.02,0.12,78.32,1,0,55+,Prepaid_Monthly,Premium_Smartphone,4G,2026-04-09
SUB2607618,0.12,0.38,0.09,0.32,109.03,0,0,55+,Prepaid_Monthly,Premium_Smartphone,4G,2026-04-17
SUB4896830,5.63,0.81,0.29,0.24,38.17,0,1,25-34,Postpaid_Unlimited,Mid_Range,4G,2026-04-17
SUB5336787,0.32,1.74,0.34,0.09,77.08,0,1,55+,Postpaid_Unlimited,Mid_Range,4G,2026-04-15
SUB3755423,0.6,0.64,0.41,0.01,41.41,0,1,18-24,Postpaid_Basic,Mid_Range,4G,2026-03-23
SUB1071295,7.91,1.77,1.35,0.94,55.82,0,0,18-24,Prepaid_Monthly,Mid_Range,5G,2026-04-08
SUB8613287,1.78,0.19,0.12,0.02,24.41,0,1,18-24,Postpaid_Premium,Basic_Phone,3G,2026-04-12
SUB4445376,0.2,0.16,0.02,0.95,37.51,0,0,35-44,Prepaid_Monthly,Mid_Range,4G,2026-03-22
SUB6251035,1.07,1.62,0.39,0.25,97.05,0,1,18-24,Prepaid_Daily,Mid_Range,5G,2026-03-27
SUB4612600,0.02,0.39,0.23,0.06,120.22,0,0,55+,Prepaid_Monthly,Premium_Smartphone,5G,2026-03-25
SUB1825816,0.62,3.55,0.07,1.16,85.89,0,0,18-24,Prepaid_Monthly,Premium_Smartphone,4G+,2026-04-04
SUB9763313,0.57,0.64,0.26,0.09,63.09,0,0,25-34,Prepaid_Monthly,5G_Device,4G,2026-04-12
SUB3026793,1.62,1.93,0.61,1.04,116.33,0,1,45-54,Prepaid_Monthly,Mid_Range,5G,2026-03-23
SUB1554594,1.43,2.96,0.03,0.08,47.77,0,0,18-24,Prepaid_Daily,Mid_Range,5G,2026-03-27
SUB9536326,1.88,3.32,1.33,0.0,83.03,0,0,18-24,Postpaid_Basic,5G_Device,4G,2026-03-28
SUB4504473,0.04,0.12,0.12,0.48,65.61,0,0,35-44,Postpaid_Basic,Mid_Range,5G,2026-04-04
SUB8299695,2.41,1.95,0.91,0.35,83.64,1,0,25-34,Prepaid_Daily,5G_Device,4G,2026-04-12
SUB3204664,4.4,1.48,1.32,0.64,58.26,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G,2026-04-12
SUB5341747,1.76,5.68,0.46,0.04,48.66,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,3G,2026-04-13
SUB1686976,0.19,0.56,0.55,0.3,79.81,0,1,25-34,Prepaid_Daily,Mid_Range,5G,2026-03-19
SUB3472189,0.09,0.59,0.09,0.37,110.57,1,0,55+,Prepaid_Monthly,5G_Device,4G+,2026-03-23
