user_id,customer_tenure_months,contract_duration_months,monthly_bill_usd,support_calls_6months,churn_probability,churn_status,churn_reason,churn_risk_category,support_calls_group
SUB3428388,48,1,48.79,1,0.176,0,,Very_Low,1-2 calls
SUB9916786,24,1,8.96,0,0.218,0,,Low,0 calls
SUB3663046,24,12,18.31,2,0.205,0,,Low,1-2 calls
SUB6499720,3,6,57.25,2,0.074,0,,Very_Low,1-2 calls
SUB7640913,6,3,80.55,4,0.215,0,,Low,3-4 calls
SUB4416664,3,1,19.63,1,0.472,1,Price Too High,Medium,1-2 calls
SUB4385659,12,12,30.09,1,0.164,0,,Very_Low,1-2 calls
SUB4385357,12,6,71.66,1,0.088,0,,Very_Low,1-2 calls
SUB2465689,6,3,22.75,4,0.532,0,,Medium,3-4 calls
SUB1068148,1,24,10.96,2,0.42,1,Relocation/Moving,Medium,1-2 calls
SUB2825665,48,6,22.35,2,0.079,0,,Very_Low,1-2 calls
SUB3745683,18,6,33.72,0,0.109,0,,Very_Low,0 calls
SUB5056518,6,12,11.31,0,0.252,0,,Low,0 calls
SUB3669995,6,3,28.92,3,0.248,1,Price Too High,Low,3-4 calls
SUB5997895,12,3,46.87,0,0.131,0,,Very_Low,0 calls
SUB7397986,24,24,118.48,1,0.068,0,,Very_Low,1-2 calls
SUB2870928,3,3,20.76,3,0.614,1,Price Too High,High,3-4 calls
SUB5155299,36,12,10.94,5,0.294,0,,Low,5+ calls
SUB7249859,6,1,30.72,1,0.205,0,,Low,1-2 calls
SUB3305413,36,3,23.09,3,0.215,0,,Low,3-4 calls
SUB4910197,36,1,26.99,5,0.95,1,Poor Customer Service,Very_High,5+ calls
SUB6558019,18,12,30.06,5,0.507,0,,Medium,5+ calls
SUB6414709,36,6,101.68,5,0.074,0,,Very_Low,5+ calls
SUB1271836,24,6,52.57,3,0.165,0,,Very_Low,3-4 calls
SUB4584702,3,12,9.55,0,0.235,0,,Low,0 calls
SUB8281369,60,12,80.37,2,0.048,0,,Very_Low,1-2 calls
SUB3299435,3,12,21.47,0,0.252,0,,Low,0 calls
SUB9585377,12,6,17.42,0,0.256,0,,Low,0 calls
SUB3658505,12,6,81.69,2,0.082,0,,Very_Low,1-2 calls
SUB2271741,6,24,114.01,4,0.177,0,,Very_Low,3-4 calls
SUB4769315,24,12,10.18,2,0.39,1,Service Not Needed,Low,1-2 calls
SUB2046797,6,3,7.89,3,0.709,1,Price Too High,High,3-4 calls
SUB4047262,12,12,22.2,0,0.227,0,,Low,0 calls
SUB1564685,6,3,36.58,1,0.292,0,,Low,1-2 calls
SUB3879190,36,3,105.14,1,0.037,0,,Very_Low,1-2 calls
SUB6596411,3,3,12.04,1,0.819,1,Relocation/Moving,Very_High,1-2 calls
SUB2007293,3,12,18.71,1,0.472,0,,Medium,1-2 calls
SUB5774183,3,12,25.15,3,0.331,0,,Low,3-4 calls
SUB4366612,24,3,5.32,2,0.147,0,,Very_Low,1-2 calls
SUB9411855,3,24,85.49,2,0.287,0,,Low,1-2 calls
SUB6267180,12,6,80.34,1,0.213,0,,Low,1-2 calls
SUB8807313,24,12,26.54,1,0.741,1,Relocation/Moving,High,1-2 calls
SUB3704238,3,6,5.67,0,0.336,0,,Low,0 calls
SUB3630708,48,24,5.14,2,0.074,0,,Very_Low,1-2 calls
SUB4494679,6,12,43.92,2,0.236,1,Network Quality Issues,Low,1-2 calls
SUB6517209,24,6,19.3,4,0.165,0,,Very_Low,3-4 calls
SUB2767640,24,24,44.25,0,0.109,0,,Very_Low,0 calls
SUB7723771,6,12,26.33,3,0.461,1,Price Too High,Medium,3-4 calls
SUB2285160,18,6,18.74,6,0.315,0,,Low,5+ calls
SUB7080526,18,24,54.18,2,0.037,0,,Very_Low,1-2 calls
SUB6173036,12,3,8.22,3,0.737,1,Network Quality Issues,High,3-4 calls
SUB2425472,6,3,87.74,3,0.322,0,,Low,3-4 calls
SUB1048984,36,24,31.36,3,0.165,0,,Very_Low,3-4 calls
SUB7556168,3,12,59.43,2,0.074,0,,Very_Low,1-2 calls
SUB2504384,24,6,11.28,1,0.39,0,,Low,1-2 calls
SUB3230919,3,3,74.27,3,0.22,0,,Low,3-4 calls
SUB7940119,24,3,12.92,0,0.252,1,Relocation/Moving,Low,0 calls
SUB2737095,6,6,92.87,4,0.118,0,,Very_Low,3-4 calls
SUB5780450,48,1,53.33,1,0.048,0,,Very_Low,1-2 calls
SUB8469344,18,1,23.17,3,0.236,0,,Low,3-4 calls
SUB3109818,12,12,29.66,3,0.369,0,,Low,3-4 calls
SUB3231785,6,1,97.83,4,0.177,1,Better Competitor Offer,Very_Low,3-4 calls
SUB4853339,12,6,106.05,1,0.063,0,,Very_Low,1-2 calls
SUB1996107,1,6,83.55,5,0.21,0,,Low,5+ calls
SUB8130144,3,24,82.82,0,0.176,0,,Very_Low,0 calls
SUB5545583,6,6,57.64,3,0.165,0,,Very_Low,3-4 calls
SUB4747389,48,3,37.94,4,0.146,0,,Very_Low,3-4 calls
SUB5142807,12,1,9.15,1,0.176,1,Price Too High,Very_Low,1-2 calls
SUB8988004,12,12,9.65,4,0.639,0,,High,3-4 calls
SUB7245035,24,1,31.28,0,0.126,0,,Very_Low,0 calls
SUB4602279,18,24,18.31,1,0.205,0,,Low,1-2 calls
SUB6515989,18,12,47.35,4,0.205,0,,Low,3-4 calls
SUB3121690,18,6,24.42,3,0.354,0,,Low,3-4 calls
SUB1491234,3,12,31.38,2,0.147,0,,Very_Low,1-2 calls
SUB6401218,12,3,27.43,0,0.227,0,,Low,0 calls
SUB7914550,48,6,49.07,1,0.098,0,,Very_Low,1-2 calls
SUB7167294,60,1,34.11,1,0.079,0,,Very_Low,1-2 calls
SUB7906726,12,24,9.02,3,0.567,1,Network Quality Issues,Medium,3-4 calls
SUB6888794,1,6,118.15,2,0.136,0,,Very_Low,1-2 calls
SUB8558158,12,12,43.61,3,0.283,0,,Low,3-4 calls
SUB7510425,6,24,80.89,2,0.079,0,,Very_Low,1-2 calls
SUB9511017,3,12,15.79,3,0.709,1,Network Quality Issues,High,3-4 calls
SUB8887739,6,6,13.09,1,0.315,0,,Low,1-2 calls
SUB1769598,3,12,14.12,0,0.504,1,Network Quality Issues,Medium,0 calls
SUB6292895,1,6,14.0,1,0.63,1,Price Too High,High,1-2 calls
SUB8971379,12,12,8.47,0,0.341,1,Network Quality Issues,Low,0 calls
SUB4331068,6,6,8.9,1,0.22,1,Price Too High,Low,1-2 calls
SUB4256415,6,1,114.85,2,0.079,0,,Very_Low,1-2 calls
SUB1874371,6,12,116.21,2,0.055,0,,Very_Low,1-2 calls
SUB6654237,12,6,84.92,0,0.098,0,,Very_Low,0 calls
SUB1973548,24,3,94.2,1,0.052,1,Better Competitor Offer,Very_Low,1-2 calls
SUB4344014,18,24,37.19,4,0.236,1,Network Quality Issues,Low,3-4 calls
SUB8064746,60,24,49.94,1,0.079,0,,Very_Low,1-2 calls
SUB7216204,48,12,11.8,3,0.157,0,,Very_Low,3-4 calls
SUB6193542,12,24,10.12,1,0.328,0,,Low,1-2 calls
SUB3959034,24,24,53.39,2,0.037,0,,Very_Low,1-2 calls
SUB5574293,3,24,81.58,3,0.236,1,Relocation/Moving,Low,3-4 calls
SUB7706971,3,1,75.57,1,0.074,0,,Very_Low,1-2 calls
SUB1043585,24,3,70.01,1,0.074,0,,Very_Low,1-2 calls
SUB3539448,3,6,29.62,3,0.472,0,,Medium,3-4 calls
SUB1109556,12,24,31.52,3,0.369,0,,Low,3-4 calls
SUB2575557,6,24,41.09,2,0.205,0,,Low,1-2 calls
SUB9306461,6,12,103.61,2,0.039,1,Network Quality Issues,Very_Low,1-2 calls
SUB3009021,3,6,106.64,3,0.205,0,,Low,3-4 calls
SUB2201482,18,3,30.74,2,0.105,0,,Very_Low,1-2 calls
SUB1542335,1,1,9.78,1,0.702,1,Relocation/Moving,High,1-2 calls
SUB5270070,24,12,22.76,2,0.205,0,,Low,1-2 calls
SUB7700379,36,24,19.88,2,0.11,0,,Very_Low,1-2 calls
SUB4560920,6,6,81.11,3,0.118,0,,Very_Low,3-4 calls
SUB7860006,12,12,10.99,3,0.95,0,,Very_High,3-4 calls
SUB3484413,18,24,28.95,3,0.658,1,Service Not Needed,High,3-4 calls
SUB3907360,18,3,29.48,1,0.205,0,,Low,1-2 calls
SUB6895544,12,24,118.28,1,0.152,0,,Very_Low,1-2 calls
SUB6697469,18,12,30.91,4,0.157,0,,Very_Low,3-4 calls
SUB3235000,24,12,49.81,1,0.292,0,,Low,1-2 calls
SUB7908531,60,12,19.35,4,0.059,0,,Very_Low,3-4 calls
SUB5322252,12,3,10.37,4,0.567,1,Poor Customer Service,Medium,3-4 calls
SUB6822184,18,12,23.17,1,0.157,0,,Very_Low,1-2 calls
SUB1402690,12,3,77.23,1,0.088,0,,Very_Low,1-2 calls
SUB3548421,6,3,100.24,4,0.329,1,Relocation/Moving,Low,3-4 calls
SUB2954109,60,12,36.98,4,0.219,0,,Low,3-4 calls
SUB5422880,1,3,28.13,2,0.22,0,,Low,1-2 calls
SUB8205547,1,12,51.64,0,0.229,0,,Low,0 calls
SUB9323735,18,12,50.71,2,0.124,0,,Very_Low,1-2 calls
SUB7457294,24,12,9.64,3,0.532,0,,Medium,3-4 calls
SUB2384250,24,24,29.84,6,0.76,1,Relocation/Moving,High,5+ calls
SUB1061087,24,1,50.99,1,0.11,0,,Very_Low,1-2 calls
SUB7409907,24,1,48.64,2,0.292,0,,Low,1-2 calls
SUB2496176,24,6,110.69,2,0.037,0,,Very_Low,1-2 calls
SUB1039353,12,12,94.56,2,0.082,0,,Very_Low,1-2 calls
SUB7484531,12,24,10.06,2,0.234,0,,Low,1-2 calls
SUB4360011,24,1,70.98,2,0.11,0,,Very_Low,1-2 calls
SUB8654909,24,12,25.18,2,0.292,0,,Low,1-2 calls
SUB5259622,6,1,81.42,2,0.143,0,,Very_Low,1-2 calls
SUB5959617,1,12,48.4,2,0.273,0,,Low,1-2 calls
SUB6725570,6,6,41.84,2,0.205,0,,Low,1-2 calls
SUB1416880,12,1,88.74,0,0.066,1,Relocation/Moving,Very_Low,0 calls
SUB8072695,12,1,57.8,4,0.132,0,,Very_Low,3-4 calls
SUB8433296,12,6,94.39,1,0.063,0,,Very_Low,1-2 calls
SUB5965050,48,24,23.78,1,0.133,0,,Very_Low,1-2 calls
SUB1813168,12,3,22.76,6,0.265,0,,Low,5+ calls
SUB1225281,3,3,31.06,1,0.273,0,,Low,1-2 calls
SUB4782875,3,24,105.4,1,0.105,0,,Very_Low,1-2 calls
SUB3995765,1,6,29.12,2,0.878,1,Relocation/Moving,Very_High,1-2 calls
SUB8734102,6,3,5.43,2,0.472,0,,Medium,1-2 calls
SUB6595108,6,12,15.92,2,0.399,0,,Low,1-2 calls
SUB6674719,6,6,32.29,2,0.157,1,Network Quality Issues,Very_Low,1-2 calls
SUB9658144,36,24,58.0,4,0.077,0,,Very_Low,3-4 calls
SUB7609280,24,1,77.16,2,0.124,1,Relocation/Moving,Very_Low,1-2 calls
SUB6500306,12,24,105.98,3,0.142,0,,Very_Low,3-4 calls
SUB5372093,12,1,69.11,4,0.172,0,,Very_Low,3-4 calls
SUB2561729,12,12,22.83,1,0.351,1,Price Too High,Low,1-2 calls
SUB6031595,1,12,38.13,5,0.78,1,Service Not Needed,High,5+ calls
SUB6478047,48,12,55.62,5,0.11,0,,Very_Low,5+ calls
SUB2119043,6,6,92.93,0,0.123,1,Relocation/Moving,Very_Low,0 calls
SUB8103230,36,24,12.07,3,0.774,1,Service Not Needed,High,3-4 calls
SUB3558231,24,6,5.46,2,0.315,0,,Low,1-2 calls
SUB7659908,3,6,10.67,3,0.95,1,Price Too High,Very_High,3-4 calls
SUB4080389,6,12,49.52,0,0.189,0,,Very_Low,0 calls
SUB2661909,12,1,13.4,3,0.491,1,Price Too High,Medium,3-4 calls
SUB3656138,6,3,56.79,0,0.149,0,,Very_Low,0 calls
SUB1110078,12,3,79.42,2,0.164,0,,Very_Low,1-2 calls
SUB2915631,6,6,15.24,3,0.461,0,,Medium,3-4 calls
SUB7314127,18,1,45.44,2,0.15,0,,Very_Low,1-2 calls
SUB3008187,6,24,106.7,2,0.169,1,Better Competitor Offer,Very_Low,1-2 calls
SUB2659066,6,12,43.25,2,0.11,0,,Very_Low,1-2 calls
SUB3148815,6,24,17.98,4,0.658,1,Poor Customer Service,High,3-4 calls
SUB8355740,24,24,17.74,1,0.157,0,,Very_Low,1-2 calls
SUB5506259,18,1,37.18,3,0.236,0,,Low,3-4 calls
SUB8473915,24,3,10.19,0,0.252,0,,Low,0 calls
SUB8658426,12,1,44.52,2,0.164,0,,Very_Low,1-2 calls
SUB7404003,36,24,106.62,1,0.037,0,,Very_Low,1-2 calls
SUB5135314,12,12,62.62,2,0.132,1,Network Quality Issues,Very_Low,1-2 calls
SUB1910681,3,3,26.49,2,0.157,0,,Very_Low,1-2 calls
SUB2607618,12,24,21.08,1,0.094,0,,Very_Low,1-2 calls
SUB4896830,12,12,83.5,2,0.082,0,,Very_Low,1-2 calls
SUB5336787,1,12,115.18,1,0.075,1,Network Quality Issues,Very_Low,1-2 calls
SUB3755423,18,3,36.75,1,0.157,0,,Very_Low,1-2 calls
SUB1071295,24,6,26.4,3,0.354,0,,Low,3-4 calls
SUB8613287,6,12,75.25,2,0.279,0,,Low,1-2 calls
SUB4445376,24,12,20.2,3,0.236,0,,Low,3-4 calls
SUB6251035,18,12,9.29,3,0.472,1,Network Quality Issues,Medium,3-4 calls
SUB4612600,6,24,24.21,1,0.118,0,,Very_Low,1-2 calls
SUB1825816,6,3,18.52,1,0.354,0,,Low,1-2 calls
SUB9763313,48,1,15.12,3,0.154,1,Relocation/Moving,Very_Low,3-4 calls
SUB3026793,3,12,16.49,2,0.22,0,,Low,1-2 calls
SUB1554594,3,12,10.62,1,0.63,0,,High,1-2 calls
SUB9536326,1,6,38.87,3,0.472,0,,Medium,3-4 calls
SUB4504473,36,24,33.14,2,0.074,0,,Very_Low,1-2 calls
SUB8299695,18,12,13.9,2,0.273,1,Price Too High,Low,1-2 calls
SUB3204664,3,12,90.5,1,0.205,0,,Low,1-2 calls
SUB5341747,24,6,17.78,1,0.266,0,,Low,1-2 calls
SUB1686976,18,6,9.47,0,0.218,1,Relocation/Moving,Low,0 calls
SUB3472189,60,24,22.04,1,0.039,0,,Very_Low,1-2 calls
SUB9506404,12,12,87.57,3,0.805,1,Network Quality Issues,Very_High,3-4 calls
SUB2241082,12,24,26.43,1,0.246,0,,Low,1-2 calls
SUB6184502,6,6,11.38,3,0.614,0,,High,3-4 calls
SUB7561000,3,3,43.07,1,0.273,0,,Low,1-2 calls
SUB7671458,24,6,46.5,3,0.079,0,,Very_Low,3-4 calls
SUB5892306,12,6,54.91,2,0.479,0,,Medium,1-2 calls
SUB4674515,24,12,83.9,2,0.096,0,,Very_Low,1-2 calls
SUB2579159,24,3,102.21,4,0.079,0,,Very_Low,3-4 calls
SUB5515488,48,6,5.84,1,0.052,1,Price Too High,Very_Low,1-2 calls
SUB7041495,12,1,6.24,2,0.378,0,,Low,1-2 calls
SUB9767088,1,6,80.6,1,0.157,0,,Very_Low,1-2 calls
SUB7324167,1,24,38.15,2,0.45,1,Relocation/Moving,Medium,1-2 calls
SUB1791971,6,6,65.09,4,0.248,0,,Low,3-4 calls
SUB1501157,48,1,12.0,2,0.105,1,Network Quality Issues,Very_Low,1-2 calls
SUB5378727,24,12,9.49,1,0.21,1,Price Too High,Low,1-2 calls
SUB5124499,18,12,7.31,1,0.21,0,,Low,1-2 calls
SUB6946594,6,6,27.95,1,0.354,0,,Low,1-2 calls
SUB6106799,24,6,7.17,3,0.614,0,,High,3-4 calls
SUB5327576,24,24,29.15,0,0.189,0,,Very_Low,0 calls
SUB5962140,6,24,49.36,1,0.38,1,Relocation/Moving,Low,1-2 calls
SUB3799487,24,12,10.39,0,0.153,1,Network Quality Issues,Very_Low,0 calls
SUB3904941,3,12,11.81,3,0.945,1,Price Too High,Very_High,3-4 calls
SUB8983441,3,1,17.72,2,0.472,0,,Medium,1-2 calls
SUB6320385,1,6,12.55,2,0.546,0,,Medium,1-2 calls
SUB3100021,24,3,12.86,2,0.273,0,,Low,1-2 calls
SUB7928040,6,1,16.28,2,0.307,1,Network Quality Issues,Low,1-2 calls
SUB1618467,18,24,24.33,0,0.088,0,,Very_Low,0 calls
SUB6333152,3,24,55.59,1,0.22,0,,Low,1-2 calls
SUB8328141,12,24,5.89,3,0.378,1,Network Quality Issues,Low,3-4 calls
SUB6072148,1,12,80.16,1,0.923,1,Better Competitor Offer,Very_High,1-2 calls
SUB2707923,36,12,92.82,3,0.072,0,,Very_Low,3-4 calls
SUB6134207,12,6,54.13,1,0.063,0,,Very_Low,1-2 calls
SUB9516999,36,24,14.86,4,0.331,0,,Low,3-4 calls
SUB7730886,12,12,23.79,3,0.283,1,Network Quality Issues,Low,3-4 calls
SUB6853584,6,1,73.23,4,0.215,0,,Low,3-4 calls
SUB9170528,12,12,118.83,0,0.066,0,,Very_Low,0 calls
SUB5301754,6,6,109.78,5,0.158,0,,Very_Low,5+ calls
SUB3269042,36,12,15.08,5,0.154,1,Network Quality Issues,Very_Low,5+ calls
SUB2983509,6,6,36.89,2,0.11,0,,Very_Low,1-2 calls
SUB8740141,6,6,98.66,3,0.118,0,,Very_Low,3-4 calls
SUB1116381,18,1,85.7,0,0.088,0,,Very_Low,0 calls
SUB2521701,3,1,45.39,2,0.585,0,,Medium,1-2 calls
SUB7105525,3,6,15.86,1,0.409,0,,Medium,1-2 calls
SUB4438618,12,3,14.59,3,0.737,0,,High,3-4 calls
SUB8913697,3,3,47.01,2,0.95,1,Service Not Needed,Very_High,1-2 calls
SUB3457184,6,24,64.02,1,0.077,0,,Very_Low,1-2 calls
SUB5103022,18,24,95.53,0,0.071,0,,Very_Low,0 calls
SUB2418175,6,1,103.22,1,0.102,0,,Very_Low,1-2 calls
SUB4806688,18,1,22.37,3,0.165,0,,Very_Low,3-4 calls
SUB8265795,12,12,70.42,1,0.172,0,,Very_Low,1-2 calls
SUB4772962,24,24,20.47,0,0.189,0,,Very_Low,0 calls
SUB5041776,24,6,60.44,1,0.074,0,,Very_Low,1-2 calls
SUB3727423,3,6,52.24,1,0.191,0,,Very_Low,1-2 calls
SUB6709840,48,3,24.87,2,0.079,0,,Very_Low,1-2 calls
SUB6130397,24,12,19.4,0,0.189,0,,Very_Low,0 calls
SUB4451356,12,6,12.34,0,0.262,0,,Low,0 calls
SUB4444084,18,3,10.26,1,0.315,0,,Low,1-2 calls
SUB3927109,36,6,102.7,1,0.018,0,,Very_Low,1-2 calls
SUB7979451,12,6,12.84,2,0.426,1,Price Too High,Medium,1-2 calls
SUB9519981,12,24,11.64,2,0.328,0,,Low,1-2 calls
SUB8778484,18,12,22.83,4,0.461,0,,Medium,3-4 calls
SUB9503902,1,12,101.52,5,0.315,0,,Low,5+ calls
SUB7214624,18,6,27.47,1,0.205,0,,Low,1-2 calls
SUB5842611,6,1,10.47,2,0.614,1,Price Too High,High,1-2 calls
SUB7357182,3,24,69.96,2,0.191,0,,Very_Low,1-2 calls
SUB5335868,24,6,27.18,1,0.205,0,,Low,1-2 calls
SUB3215167,12,12,18.06,3,0.369,1,Price Too High,Low,3-4 calls
SUB4886402,12,12,53.02,1,0.115,0,,Very_Low,1-2 calls
SUB7545535,6,24,29.43,1,0.307,0,,Low,1-2 calls
SUB7842385,1,3,111.54,4,0.236,0,,Low,3-4 calls
SUB1688105,12,12,36.03,0,0.101,0,,Very_Low,0 calls
SUB2989173,24,6,40.03,4,0.157,0,,Very_Low,3-4 calls
SUB4080761,24,3,17.74,5,0.95,1,Service Not Needed,Very_High,5+ calls
SUB2414466,48,24,76.55,3,0.028,0,,Very_Low,3-4 calls
SUB1445101,36,24,49.07,0,0.088,0,,Very_Low,0 calls
SUB9106609,60,1,9.35,7,0.614,1,Price Too High,High,5+ calls
SUB8413023,18,12,28.07,2,0.236,0,,Low,1-2 calls
SUB8613269,1,3,31.65,0,0.156,1,Relocation/Moving,Very_Low,0 calls
SUB2105534,36,12,78.67,5,0.134,0,,Very_Low,5+ calls
SUB5353127,60,12,84.7,1,0.018,0,,Very_Low,1-2 calls
SUB8315360,12,12,62.3,2,0.132,0,,Very_Low,1-2 calls
SUB9073461,3,1,41.92,0,0.284,0,,Low,0 calls
SUB1498863,1,12,25.99,1,0.41,1,Network Quality Issues,Medium,1-2 calls
SUB9756262,18,1,53.61,4,0.077,0,,Very_Low,3-4 calls
SUB3676188,18,12,99.94,1,0.079,0,,Very_Low,1-2 calls
SUB4295990,1,1,35.26,1,0.585,0,,Medium,1-2 calls
SUB8782937,48,12,11.21,1,0.157,1,Network Quality Issues,Very_Low,1-2 calls
SUB7526818,12,24,13.29,0,0.141,0,,Very_Low,0 calls
SUB6491590,18,3,24.46,1,0.205,0,,Low,1-2 calls
SUB7512440,18,12,31.69,0,0.109,0,,Very_Low,0 calls
SUB7099628,6,6,104.59,0,0.082,0,,Very_Low,0 calls
SUB7555968,48,12,19.24,1,0.039,0,,Very_Low,1-2 calls
SUB3699015,1,12,17.94,1,0.22,0,,Low,1-2 calls
SUB9837590,24,3,34.81,1,0.105,0,,Very_Low,1-2 calls
SUB2172622,6,3,111.04,2,0.19,0,,Very_Low,1-2 calls
SUB3503771,3,24,29.29,4,0.709,1,Network Quality Issues,High,3-4 calls
SUB4177825,12,24,29.88,4,0.202,0,,Low,3-4 calls
SUB1996161,3,12,6.79,1,0.546,0,,Medium,1-2 calls
SUB5183839,36,6,37.62,3,0.143,0,,Very_Low,3-4 calls
SUB1666326,24,12,70.56,4,0.186,0,,Very_Low,3-4 calls
SUB1649150,36,12,15.05,2,0.055,0,,Very_Low,1-2 calls
SUB4375957,36,1,43.58,1,0.096,0,,Very_Low,1-2 calls
SUB1118834,36,24,43.78,3,0.11,0,,Very_Low,3-4 calls
SUB4239576,18,1,45.51,2,0.074,0,,Very_Low,1-2 calls
SUB6893309,48,12,12.7,2,0.136,1,Relocation/Moving,Very_Low,1-2 calls
SUB6948540,1,6,100.77,2,0.157,0,,Very_Low,1-2 calls
SUB5249913,6,12,44.13,2,0.079,0,,Very_Low,1-2 calls
SUB5422201,3,3,57.66,5,0.191,1,Network Quality Issues,Very_Low,5+ calls
SUB2079600,3,6,34.18,3,0.41,1,Network Quality Issues,Medium,3-4 calls
SUB4503157,1,12,92.3,0,0.084,0,,Very_Low,0 calls
SUB9272874,12,1,31.51,3,0.246,0,,Low,3-4 calls
SUB9849851,24,24,16.92,4,0.118,0,,Very_Low,3-4 calls
SUB2985588,18,24,21.87,3,0.307,1,Price Too High,Low,3-4 calls
SUB9640059,18,6,22.88,2,0.11,1,Price Too High,Very_Low,1-2 calls
SUB5197355,36,6,26.61,3,0.083,0,,Very_Low,3-4 calls
SUB2752683,60,12,86.6,0,0.021,0,,Very_Low,0 calls
SUB8716868,18,12,108.85,2,0.079,0,,Very_Low,1-2 calls
SUB2004646,1,24,28.81,4,0.473,0,,Medium,3-4 calls
SUB4867500,18,6,26.83,0,0.189,0,,Very_Low,0 calls
SUB1449395,18,12,10.34,3,0.409,0,,Medium,3-4 calls
SUB6143901,1,3,91.04,3,0.307,0,,Low,3-4 calls
SUB7754350,6,12,19.77,1,0.307,0,,Low,1-2 calls
SUB2260386,6,6,46.09,3,0.658,0,,High,3-4 calls
SUB4054390,24,12,111.84,2,0.089,0,,Very_Low,1-2 calls
SUB8019431,6,6,22.03,3,0.248,0,,Low,3-4 calls
SUB4379569,12,3,67.25,1,0.123,0,,Very_Low,1-2 calls
SUB3900603,24,6,17.49,0,0.164,0,,Very_Low,0 calls
SUB9611474,48,24,67.74,1,0.062,0,,Very_Low,1-2 calls
SUB2646711,12,12,16.69,1,0.246,0,,Low,1-2 calls
SUB6587774,18,12,21.07,0,0.176,0,,Very_Low,0 calls
SUB7319707,1,12,98.42,3,0.205,0,,Low,3-4 calls
SUB8967801,12,12,48.56,3,0.351,0,,Low,3-4 calls
SUB2423286,18,3,21.87,2,0.146,0,,Very_Low,1-2 calls
SUB4695961,3,3,26.23,2,0.532,1,Network Quality Issues,Medium,1-2 calls
SUB9217316,3,12,9.47,1,0.21,0,,Low,1-2 calls
SUB4177945,36,1,52.36,7,0.077,0,,Very_Low,5+ calls
SUB8348340,3,6,23.86,1,0.157,0,,Very_Low,1-2 calls
SUB1183062,48,12,55.03,2,0.048,0,,Very_Low,1-2 calls
SUB3841992,6,1,27.58,3,0.461,1,Network Quality Issues,Medium,3-4 calls
SUB5294539,6,1,22.25,3,0.248,0,,Low,3-4 calls
SUB7095929,12,24,66.4,2,0.149,0,,Very_Low,1-2 calls
SUB5944505,3,24,49.92,3,0.315,1,Network Quality Issues,Low,3-4 calls
SUB1803328,18,6,100.96,2,0.102,0,,Very_Low,1-2 calls
SUB5062958,12,12,48.8,3,0.95,1,Network Quality Issues,Very_High,3-4 calls
SUB2043233,48,3,16.62,2,0.133,0,,Very_Low,1-2 calls
SUB7468703,48,6,41.24,1,0.052,0,,Very_Low,1-2 calls
SUB1529525,24,12,8.32,2,0.355,0,,Low,1-2 calls
SUB1176615,3,24,23.11,2,0.315,0,,Low,1-2 calls
SUB5381932,3,6,17.92,1,0.532,0,,Medium,1-2 calls
SUB7665088,6,6,68.71,3,0.215,1,Relocation/Moving,Low,3-4 calls
SUB8474447,36,12,6.7,1,0.147,1,Network Quality Issues,Very_Low,1-2 calls
SUB5601020,18,12,19.26,2,0.205,0,,Low,1-2 calls
SUB4699391,3,24,27.82,4,0.614,0,,High,3-4 calls
SUB9929860,12,12,13.37,3,0.567,0,,Medium,3-4 calls
SUB8006454,60,3,6.17,3,0.205,1,Relocation/Moving,Low,3-4 calls
SUB4612610,24,1,26.11,0,0.126,0,,Very_Low,0 calls
