user_id,total_data_mb,total_data_gb,streaming_data_mb,social_data_mb,messaging_data_mb,gaming_data_mb,data_usage_category
SUB6596411,607.89,0.594,528.31,52.68,8.95,18.0,Light
SUB2007293,4497.23,4.392,3843.23,320.67,2.55,56.21,Moderate
SUB5774183,975.95,0.953,543.06,268.65,1.64,25.63,Light
SUB4366612,190.97,0.186,102.77,16.66,0.15,16.95,Very_Light
SUB9411855,1780.74,1.739,938.72,530.76,66.78,44.52,Light
SUB6267180,207.54,0.203,173.79,25.81,2.21,3.84,Very_Light
SUB8807313,115.81,0.113,49.26,15.08,0.46,31.95,Very_Light
SUB3704238,1064.49,1.04,617.06,379.23,11.33,5.54,Light
SUB3630708,5260.55,5.137,4838.98,174.48,5.81,34.37,Heavy
SUB4494679,1939.82,1.894,1939.76,112.62,8.64,8.91,Light
SUB6517209,1747.45,1.706,1486.03,80.83,8.73,55.06,Light
SUB2767640,1353.0,1.321,709.95,502.69,4.17,19.08,Light
SUB7723771,3883.11,3.792,3087.71,257.27,9.82,189.96,Moderate
SUB2285160,2032.72,1.985,1097.69,849.35,6.66,15.46,Light
SUB7080526,476.7,0.466,47.29,362.87,3.66,9.0,Very_Light
SUB6173036,810.3,0.791,560.87,203.18,3.92,46.27,Light
SUB2425472,7210.48,7.041,5040.66,1921.07,69.08,1.17,Heavy
SUB1048984,14037.03,13.708,12992.5,2318.7,2.15,37.6,Power_User
SUB7556168,4771.47,4.66,3987.92,232.58,0.63,21.6,Moderate
SUB2504384,606.16,0.592,576.3,45.57,0.17,8.54,Light
SUB3230919,7880.37,7.696,6897.87,1351.71,7.62,69.43,Heavy
SUB7940119,6802.97,6.644,5863.53,220.18,0.59,30.24,Heavy
SUB2737095,2126.11,2.076,1588.92,421.02,6.92,99.02,Moderate
SUB5780450,480.55,0.469,193.12,170.68,0.43,37.91,Very_Light
SUB8469344,14232.63,13.899,12771.56,73.66,6.71,49.23,Power_User
SUB3109818,5921.59,5.783,5462.72,70.95,10.3,58.06,Heavy
SUB3231785,2846.15,2.779,1879.75,775.48,2.09,227.48,Moderate
SUB4853339,15219.3,14.863,14153.41,1228.04,4.46,51.29,Power_User
SUB1996107,21526.37,21.022,18870.24,1002.72,33.07,391.25,Power_User
SUB8130144,9777.82,9.549,9182.99,359.78,7.9,652.25,Heavy
SUB5545583,2527.54,2.468,1601.07,915.83,3.52,83.38,Moderate
SUB4747389,533.17,0.521,257.51,140.31,0.47,59.66,Light
SUB5142807,366.16,0.358,102.61,163.9,7.49,1.57,Very_Light
SUB8988004,1430.07,1.397,1018.08,261.23,3.23,1.57,Light
SUB7245035,10118.28,9.881,10563.1,452.55,15.02,48.56,Heavy
SUB4602279,7887.58,7.703,7141.85,769.36,0.08,34.26,Heavy
SUB6515989,2966.77,2.897,2428.15,569.34,9.91,21.08,Moderate
SUB3121690,7136.6,6.969,5763.58,1813.47,19.54,112.59,Heavy
SUB1491234,622.49,0.608,499.44,44.41,0.92,72.19,Light
SUB6401218,1324.13,1.293,919.56,323.95,7.27,0.0,Light
SUB7914550,689.26,0.673,153.09,416.64,9.97,23.1,Light
SUB7167294,1030.25,1.006,569.27,277.57,12.88,7.34,Light
SUB7906726,770.26,0.752,257.84,398.56,4.69,44.22,Light
SUB6888794,6993.31,6.829,6081.5,23.16,7.72,487.56,Heavy
SUB8558158,2841.82,2.775,2124.35,514.33,9.48,16.34,Moderate
SUB7510425,7213.91,7.045,7096.44,466.41,13.66,4.39,Heavy
SUB9511017,9843.33,9.613,8165.67,1559.94,39.47,130.26,Heavy
SUB8887739,964.34,0.942,630.38,118.22,2.76,3.99,Light
SUB1769598,3243.15,3.167,1802.41,986.09,7.43,95.19,Moderate
SUB6292895,3696.18,3.61,2469.34,729.82,7.0,172.31,Moderate
SUB8971379,331.2,0.323,84.09,203.99,1.42,5.05,Very_Light
SUB4331068,457.44,0.447,378.33,43.9,0.42,2.09,Very_Light
SUB4256415,8058.84,7.87,7441.22,428.52,1.94,27.33,Heavy
SUB1874371,4019.84,3.926,3715.27,133.74,3.59,48.63,Moderate
SUB6654237,16862.94,16.468,15912.55,1763.57,47.09,69.21,Power_User
SUB1973548,1310.14,1.279,1094.32,188.36,0.0,14.48,Light
SUB4344014,638.99,0.624,353.01,87.56,0.72,121.28,Light
SUB8064746,1265.35,1.236,616.57,456.68,4.19,32.89,Light
SUB7216204,2684.39,2.621,2207.26,227.54,4.25,24.59,Moderate
SUB6193542,2791.03,2.726,2493.88,55.34,6.14,46.21,Moderate
SUB3959034,992.66,0.969,384.09,383.32,0.29,11.21,Light
SUB5574293,15350.62,14.991,12935.65,905.34,33.05,113.65,Power_User
SUB7706971,3709.13,3.622,3217.03,290.99,5.43,14.48,Moderate
SUB1043585,2066.4,2.018,1298.17,811.43,1.63,13.26,Moderate
SUB3539448,812.98,0.794,644.48,109.93,1.18,0.62,Light
SUB1109556,1128.68,1.102,937.09,52.48,0.16,49.08,Light
SUB2575557,4520.89,4.415,4694.01,126.28,8.26,24.51,Moderate
SUB9306461,4347.54,4.246,4117.59,400.46,0.62,32.58,Moderate
SUB3009021,3826.21,3.737,3315.59,779.28,10.42,3.58,Moderate
SUB2201482,1223.65,1.195,817.24,242.53,12.21,180.04,Light
SUB1542335,124.07,0.121,91.68,1.86,0.77,4.3,Very_Light
SUB5270070,4259.63,4.16,3478.7,446.19,1.13,30.96,Moderate
SUB7700379,3055.21,2.984,2371.69,312.35,18.18,5.49,Moderate
SUB4560920,2410.84,2.354,937.54,1150.52,6.86,256.55,Moderate
SUB7860006,413.12,0.403,397.75,15.77,0.83,11.27,Very_Light
SUB3484413,555.58,0.543,488.61,64.87,8.61,10.89,Light
SUB3907360,1277.83,1.248,1019.5,102.24,18.92,41.8,Light
SUB6895544,1240.44,1.211,678.34,570.33,5.05,12.06,Light
SUB6697469,883.51,0.863,415.85,405.71,1.62,76.3,Light
SUB3235000,295.37,0.288,232.98,25.15,0.93,22.24,Very_Light
SUB7908531,581.47,0.568,436.06,25.2,0.0,30.17,Light
SUB5322252,780.82,0.763,455.92,213.57,1.75,62.51,Light
SUB6822184,2545.23,2.486,2208.39,166.77,8.56,142.46,Moderate
SUB1402690,1103.98,1.078,653.79,248.7,17.94,14.72,Light
SUB3548421,763.95,0.746,262.3,384.08,0.66,7.6,Light
SUB2954109,1757.07,1.716,1596.39,64.56,2.31,3.85,Light
SUB5422880,4730.84,4.62,3807.37,399.45,0.6,3.79,Moderate
SUB8205547,2269.35,2.216,2186.34,44.71,3.54,0.0,Moderate
SUB9323735,9286.82,9.069,6829.65,2065.58,2.04,327.25,Heavy
SUB7457294,874.89,0.854,520.28,234.38,2.54,1.65,Light
SUB2384250,205.41,0.201,146.65,23.57,0.0,0.0,Very_Light
SUB1061087,10401.29,10.158,9470.01,728.04,0.23,98.12,Power_User
SUB7409907,654.71,0.639,608.78,30.38,0.88,7.95,Light
SUB2496176,1009.56,0.986,323.2,393.37,16.56,136.86,Light
SUB1039353,23171.37,22.628,21618.27,165.49,1.23,267.93,Power_User
SUB7484531,242.77,0.237,180.81,33.54,0.69,11.15,Very_Light
SUB4360011,31075.13,30.347,30498.99,1137.79,58.14,4.39,Power_User
SUB8654909,489.63,0.478,321.35,136.5,4.83,5.83,Very_Light
SUB5259622,9133.24,8.919,9199.0,583.79,6.42,30.12,Heavy
SUB5959617,2028.5,1.981,1459.23,305.53,35.43,200.25,Light
SUB6725570,5207.92,5.086,4127.66,1355.67,2.44,9.87,Heavy
SUB1416880,6072.48,5.93,4314.35,1286.71,4.58,96.58,Heavy
SUB8072695,2301.18,2.247,658.61,1539.87,2.56,223.23,Moderate
SUB8433296,5079.24,4.96,3873.27,781.13,0.11,79.01,Moderate
SUB5965050,899.87,0.879,752.1,24.17,5.3,144.15,Light
SUB1813168,296.38,0.289,188.59,21.84,1.38,9.98,Very_Light
SUB1225281,1883.78,1.84,1295.92,410.4,49.17,183.71,Light
SUB4782875,5741.5,5.607,4426.95,1207.51,19.05,39.82,Heavy
SUB3995765,786.75,0.768,559.33,159.51,1.84,10.24,Light
SUB8734102,4998.72,4.882,4878.02,517.63,7.06,1.51,Moderate
SUB6595108,310.43,0.303,87.52,186.83,5.91,3.19,Very_Light
SUB6674719,2072.44,2.024,1869.55,41.71,6.28,94.59,Moderate
SUB9658144,2184.89,2.134,1382.99,399.09,70.42,52.96,Moderate
SUB7609280,34237.01,33.435,30954.08,43.24,56.23,481.52,Power_User
SUB6500306,2060.95,2.013,1622.4,240.83,57.76,31.77,Moderate
SUB5372093,6991.07,6.827,6242.92,547.03,8.59,16.25,Heavy
SUB2561729,276.49,0.27,220.85,7.21,0.88,27.5,Very_Light
SUB6031595,669.22,0.654,398.92,171.19,3.81,32.89,Light
SUB6478047,5236.87,5.114,4026.12,1402.45,47.34,79.56,Heavy
SUB2119043,7281.02,7.11,6866.54,701.11,8.38,147.29,Heavy
SUB8103230,115.77,0.113,82.51,6.94,1.35,4.89,Very_Light
SUB3558231,1680.55,1.641,1496.57,63.02,2.18,12.74,Light
SUB7659908,3860.86,3.77,3301.62,120.86,1.72,54.52,Moderate
SUB4080389,8358.55,8.163,6792.64,556.83,7.07,445.99,Heavy
SUB2661909,529.5,0.517,110.46,349.43,2.32,47.08,Light
SUB3656138,565.52,0.552,89.28,255.61,1.5,146.72,Light
SUB1110078,467.64,0.457,305.75,95.63,5.28,11.86,Very_Light
SUB2915631,1564.49,1.528,1491.85,71.88,2.91,1.77,Light
SUB7314127,1472.87,1.438,1278.93,123.56,1.91,67.73,Light
SUB3008187,13263.29,12.952,12376.06,330.31,64.45,16.74,Power_User
SUB2659066,1338.22,1.307,424.23,948.09,11.2,6.15,Light
SUB3148815,981.21,0.958,752.71,85.97,4.35,41.47,Light
SUB8355740,3953.07,3.86,3440.93,503.73,4.18,4.36,Moderate
SUB5506259,4162.87,4.065,4100.22,84.18,10.64,162.16,Moderate
SUB8473915,4030.24,3.936,3215.52,651.52,3.29,171.37,Moderate
SUB8658426,1234.04,1.205,380.94,619.46,26.91,135.49,Light
SUB7404003,3593.79,3.51,1634.26,1561.32,18.85,23.92,Moderate
SUB5135314,4331.41,4.23,3504.87,518.87,4.8,156.02,Moderate
SUB1910681,550.8,0.538,432.5,70.54,0.23,22.01,Light
SUB2607618,299.08,0.292,86.58,91.33,0.47,29.63,Very_Light
SUB4896830,7209.97,7.041,6547.41,224.36,3.59,25.45,Heavy
SUB5336787,904.94,0.884,437.46,297.09,3.8,14.45,Light
SUB3755423,773.54,0.755,641.14,139.04,4.93,0.61,Light
SUB1071295,17868.76,17.45,16463.44,703.44,13.72,94.63,Power_User
SUB8613287,966.96,0.944,929.3,22.38,1.88,3.79,Light
SUB4445376,401.1,0.392,223.71,32.18,0.35,142.05,Very_Light
SUB6251035,2952.94,2.884,2206.65,479.39,2.19,46.0,Moderate
SUB4612600,293.17,0.286,30.69,132.3,2.43,6.56,Very_Light
SUB1825816,2093.72,2.045,788.12,1119.59,1.01,55.08,Moderate
SUB9763313,772.51,0.754,535.26,114.09,4.91,16.08,Light
SUB3026793,3176.14,3.102,2696.3,508.72,8.36,103.5,Moderate
SUB1554594,4780.01,4.668,3442.28,971.28,0.46,12.93,Moderate
SUB9536326,2055.36,2.007,1348.61,577.03,18.95,0.0,Moderate
SUB4504473,233.28,0.228,76.15,47.99,1.17,40.29,Very_Light
SUB8299695,2875.54,2.808,2170.9,522.5,8.49,38.92,Moderate
SUB3204664,7304.61,7.133,6722.37,436.96,22.83,85.03,Heavy
SUB5341747,1788.66,1.747,863.81,825.23,8.58,3.04,Light
SUB1686976,652.45,0.637,330.92,148.64,6.31,30.32,Light
SUB3472189,396.59,0.387,139.55,120.49,0.77,33.03,Very_Light
SUB9506404,58.42,0.057,32.39,18.35,0.43,3.57,Very_Light
SUB2241082,9720.59,9.493,9195.64,226.78,3.03,20.54,Heavy
SUB6184502,5250.91,5.128,4620.62,109.03,6.71,229.68,Heavy
SUB7561000,1555.19,1.519,788.73,596.79,6.23,6.24,Light
SUB7671458,3469.69,3.388,3092.42,504.22,0.45,4.96,Moderate
SUB5892306,390.94,0.382,289.46,46.92,0.47,21.75,Very_Light
SUB4674515,4422.26,4.319,3826.92,905.82,0.55,34.38,Moderate
SUB2579159,2243.92,2.191,1910.78,126.53,0.27,3.54,Moderate
SUB5515488,481.68,0.47,317.17,57.1,0.69,14.95,Very_Light
SUB7041495,10370.95,10.128,10559.39,468.14,0.22,25.45,Power_User
SUB9767088,4335.72,4.234,3515.39,906.38,6.89,21.69,Moderate
SUB7324167,2918.35,2.85,2016.56,622.03,9.62,82.74,Moderate
SUB1791971,8027.88,7.84,7434.42,913.05,1.97,52.52,Heavy
SUB1501157,1183.23,1.155,33.62,961.0,11.51,43.32,Light
SUB5378727,9152.57,8.938,8846.93,403.68,11.49,82.84,Heavy
SUB5124499,2168.14,2.117,1824.4,190.69,3.09,12.31,Moderate
SUB6946594,2045.0,1.997,1046.93,869.14,0.1,3.92,Light
SUB6106799,597.32,0.583,388.62,171.03,3.02,11.02,Light
SUB5327576,789.71,0.771,412.83,311.22,0.87,9.13,Light
SUB5962140,2300.66,2.247,1900.95,197.91,8.36,51.36,Moderate
SUB3799487,113.24,0.111,27.35,39.03,0.95,24.36,Very_Light
SUB3904941,5201.05,5.079,3958.66,600.19,8.89,9.69,Heavy
SUB8983441,2227.19,2.175,1729.33,365.54,9.89,46.57,Moderate
SUB6320385,9354.74,9.135,8228.13,252.22,5.66,8.01,Heavy
SUB3100021,4481.86,4.377,3845.19,369.38,12.0,74.51,Moderate
SUB7928040,1684.46,1.645,798.87,626.91,0.26,153.68,Light
SUB1618467,2075.06,2.026,1443.85,352.67,0.84,76.16,Moderate
SUB6333152,2481.63,2.423,715.38,1782.74,17.79,21.21,Moderate
SUB8328141,425.62,0.416,191.15,141.3,26.6,3.25,Very_Light
SUB6072148,1033.16,1.009,793.21,133.16,1.1,13.04,Light
SUB2707923,9379.53,9.16,8881.13,161.2,0.0,227.08,Heavy
SUB6134207,5080.33,4.961,4833.33,155.39,0.89,36.19,Moderate
SUB9516999,4966.5,4.85,4543.98,341.88,0.46,43.72,Moderate
SUB7730886,2819.15,2.753,2674.82,23.5,2.21,6.97,Moderate
SUB6853584,10500.52,10.254,9465.42,295.56,1.29,19.48,Power_User
SUB9170528,9928.26,9.696,8727.48,457.37,3.76,658.91,Heavy
SUB5301754,1064.73,1.04,875.85,205.35,0.29,27.37,Light
SUB3269042,962.49,0.94,322.91,536.54,4.06,63.95,Light
SUB2983509,1760.24,1.719,1461.51,173.37,0.0,2.03,Light
SUB8740141,15431.7,15.07,13780.22,2363.15,31.83,22.89,Power_User
SUB1116381,2944.94,2.876,2133.87,819.61,11.66,32.0,Moderate
SUB2521701,379.18,0.37,239.77,108.79,1.93,3.7,Very_Light
SUB7105525,247.45,0.242,91.54,15.26,5.94,89.63,Very_Light
SUB4438618,802.45,0.784,570.42,133.89,0.73,63.89,Light
SUB8913697,367.13,0.359,303.03,11.17,4.04,9.83,Very_Light
SUB3457184,5754.58,5.62,5011.7,334.9,0.86,270.82,Heavy
SUB5103022,2531.01,2.472,2031.83,247.55,9.64,45.13,Moderate
SUB2418175,5310.78,5.186,4967.13,382.14,10.23,252.93,Heavy
SUB4806688,1401.65,1.369,1243.56,121.49,16.87,34.91,Light
SUB8265795,7546.1,7.369,7447.29,517.09,22.87,54.37,Heavy
SUB4772962,5240.12,5.117,3661.21,1083.29,32.11,60.25,Heavy
SUB5041776,2395.47,2.339,1184.98,621.88,1.77,272.07,Moderate
SUB3727423,24055.73,23.492,23835.59,491.44,7.83,101.28,Power_User
SUB6709840,3398.15,3.319,2636.04,254.99,6.75,248.6,Moderate
SUB6130397,7159.72,6.992,4859.21,1747.71,5.29,8.67,Heavy
SUB4451356,2045.5,1.998,1010.39,303.71,2.28,520.19,Light
SUB4444084,515.85,0.504,369.73,91.72,1.51,0.51,Light
SUB3927109,2337.92,2.283,1813.06,354.66,2.61,16.16,Moderate
SUB7979451,216.05,0.211,98.89,71.26,3.72,25.63,Very_Light
SUB9519981,3958.88,3.866,3736.37,253.1,7.17,83.04,Moderate
SUB8778484,273.18,0.267,174.29,40.35,1.92,16.14,Very_Light
SUB9503902,6474.36,6.323,5876.51,573.47,8.76,144.97,Heavy
SUB7214624,3366.3,3.287,2597.83,176.09,9.29,152.9,Moderate
SUB5842611,274.52,0.268,86.23,70.76,1.46,70.81,Very_Light
SUB7357182,1688.42,1.649,1577.61,74.46,0.97,74.86,Light
SUB5335868,5103.47,4.984,3616.82,1592.85,21.61,145.92,Moderate
SUB3215167,520.77,0.509,175.87,298.97,3.4,20.37,Light
SUB4886402,865.48,0.845,698.55,79.84,1.36,140.86,Light
SUB7545535,14494.85,14.155,14381.85,980.16,7.69,5.98,Power_User
SUB7842385,5824.09,5.688,4471.88,954.9,0.0,25.21,Heavy
SUB1688105,1517.08,1.482,895.41,520.44,3.51,134.87,Light
SUB2989173,1713.9,1.674,1285.53,210.16,10.87,0.0,Light
SUB4080761,208.5,0.204,100.89,24.11,0.19,40.67,Very_Light
SUB2414466,771.19,0.753,127.87,480.03,11.3,28.31,Light
SUB1445101,8679.1,8.476,8618.48,756.98,1.29,68.93,Heavy
SUB9106609,186.79,0.182,58.89,79.16,2.26,0.0,Very_Light
SUB8413023,1745.18,1.704,366.89,973.76,1.57,353.16,Light
SUB8613269,242.63,0.237,104.5,38.25,2.68,17.06,Very_Light
SUB2105534,10131.05,9.894,10056.24,99.43,6.53,90.92,Heavy
SUB5353127,5523.6,5.394,5562.95,233.57,10.21,186.81,Heavy
SUB8315360,2141.83,2.092,373.62,590.38,0.49,1155.06,Moderate
SUB9073461,934.7,0.913,542.66,180.0,34.66,64.84,Light
SUB1498863,9064.76,8.852,7987.76,718.74,7.48,23.92,Heavy
SUB9756262,3464.7,3.383,2796.58,549.45,20.24,132.57,Moderate
SUB3676188,9855.16,9.624,8417.04,698.38,10.23,76.03,Heavy
SUB4295990,3888.52,3.797,3677.01,152.55,64.24,293.8,Moderate
SUB8782937,1270.25,1.24,1006.0,125.66,3.87,3.84,Light
SUB7526818,496.53,0.485,401.34,41.26,0.11,19.34,Very_Light
SUB6491590,806.13,0.787,343.78,268.75,17.77,163.57,Light
SUB7512440,2771.37,2.706,1338.44,1225.46,49.15,4.43,Moderate
SUB7099628,7098.84,6.932,6284.67,615.24,5.88,273.21,Heavy
SUB7555968,1069.05,1.044,883.29,19.42,5.89,11.09,Light
SUB3699015,1498.22,1.463,1030.87,364.48,0.0,2.31,Light
SUB9837590,2622.7,2.561,1818.18,817.29,3.97,15.09,Moderate
SUB2172622,2657.33,2.595,2667.33,44.5,6.7,38.98,Moderate
SUB3503771,4237.28,4.138,4221.19,227.24,8.41,127.45,Moderate
SUB4177825,325.89,0.318,224.82,30.91,2.71,37.84,Very_Light
SUB1996161,1404.12,1.371,1210.4,156.47,0.0,27.4,Light
SUB5183839,1618.48,1.581,1492.92,103.5,18.2,19.4,Light
SUB1666326,15342.62,14.983,15414.57,429.56,36.14,2.09,Power_User
SUB1649150,487.24,0.476,286.31,54.28,2.79,33.52,Very_Light
SUB4375957,2488.66,2.43,2250.13,222.87,8.8,42.65,Moderate
SUB1118834,2767.31,2.702,785.1,1684.21,1.84,0.0,Moderate
SUB4239576,5270.36,5.147,4622.49,257.17,9.56,191.43,Heavy
SUB6893309,17570.1,17.158,18443.35,351.88,0.29,51.26,Power_User
SUB6948540,11507.39,11.238,11505.51,202.67,3.9,86.32,Power_User
SUB5249913,1125.58,1.099,821.54,312.24,0.0,6.48,Light
SUB5422201,3708.3,3.621,3339.59,24.84,0.12,2.73,Moderate
SUB2079600,1069.22,1.044,764.65,39.08,4.93,156.73,Light
SUB4503157,5649.36,5.517,5128.04,279.06,16.92,269.63,Heavy
SUB9272874,602.68,0.589,145.12,33.82,40.53,297.54,Light
SUB9849851,362.49,0.354,128.95,41.77,0.31,72.56,Very_Light
SUB2985588,1260.05,1.231,353.23,737.86,0.63,21.09,Light
SUB9640059,695.45,0.679,495.31,105.96,0.55,15.07,Light
SUB5197355,1270.29,1.241,721.69,311.46,1.34,36.47,Light
SUB2752683,6750.17,6.592,5195.7,1149.67,3.8,69.11,Heavy
SUB8716868,1418.17,1.385,989.36,201.78,10.43,169.54,Light
SUB2004646,3343.65,3.265,3023.3,127.19,0.21,4.82,Moderate
SUB4867500,3307.07,3.23,2975.79,236.16,2.05,219.57,Moderate
SUB1449395,444.73,0.434,376.56,63.24,1.16,1.45,Very_Light
SUB6143901,949.31,0.927,321.76,645.72,1.43,46.79,Light
SUB7754350,5208.0,5.086,4637.06,51.73,2.82,26.88,Heavy
SUB2260386,471.25,0.46,132.58,243.63,1.81,42.47,Very_Light
SUB4054390,5159.3,5.038,3492.77,1042.81,19.46,167.14,Heavy
SUB8019431,2316.93,2.263,870.12,1167.65,1.02,36.63,Moderate
SUB4379569,845.03,0.825,811.23,16.11,2.25,20.67,Light
SUB3900603,1228.2,1.199,785.48,373.13,5.16,16.45,Light
SUB9611474,2053.91,2.006,1033.51,890.06,33.58,89.98,Moderate
SUB2646711,1167.49,1.14,580.55,420.7,4.79,5.46,Light
SUB6587774,97.8,0.096,46.7,6.82,0.07,11.21,Very_Light
SUB7319707,10887.05,10.632,11479.66,248.53,12.14,124.69,Power_User
SUB8967801,1163.68,1.136,982.27,152.75,6.48,2.55,Light
SUB2423286,88.62,0.087,22.28,23.96,0.82,2.03,Very_Light
SUB4695961,646.27,0.631,469.64,120.26,0.9,33.71,Light
SUB9217316,345.05,0.337,252.31,32.07,1.64,1.6,Very_Light
SUB4177945,1164.8,1.138,934.91,138.1,0.29,108.03,Light
SUB8348340,1127.58,1.101,614.25,372.06,1.11,5.07,Light
SUB1183062,12008.51,11.727,11121.38,1188.38,9.62,22.46,Power_User
SUB3841992,2608.54,2.547,1978.66,628.77,0.0,24.77,Moderate
SUB5294539,1512.71,1.477,1379.98,7.3,6.34,3.45,Light
SUB7095929,13670.72,13.35,13709.56,892.8,3.95,59.31,Power_User
SUB5944505,1312.09,1.281,649.96,568.01,2.2,46.48,Light
SUB1803328,11486.31,11.217,11017.53,717.27,22.4,115.28,Power_User
SUB5062958,180.12,0.176,142.8,4.32,0.41,10.13,Very_Light
SUB2043233,395.94,0.387,312.54,43.63,1.98,18.42,Very_Light
SUB7468703,3706.02,3.619,3780.48,118.18,9.45,80.68,Moderate
SUB1529525,712.04,0.695,569.86,69.9,0.39,9.81,Light
SUB1176615,459.45,0.449,204.3,118.61,2.29,67.74,Very_Light
SUB5381932,596.54,0.583,366.17,156.33,0.93,1.93,Light
SUB7665088,1295.37,1.265,1092.22,164.56,2.98,18.85,Light
SUB8474447,933.36,0.911,695.3,61.3,8.12,78.13,Light
SUB5601020,4298.68,4.198,3277.98,595.84,8.58,54.33,Moderate
SUB4699391,1119.3,1.093,719.46,273.33,1.74,7.98,Light
SUB9929860,1469.49,1.435,1012.03,270.46,0.0,0.51,Light
SUB8006454,2171.41,2.121,1441.16,316.89,5.87,78.29,Moderate
SUB4612610,2466.75,2.409,2017.88,302.24,7.57,109.96,Moderate
SUB8031883,1691.44,1.652,1008.74,670.19,5.18,16.08,Light
SUB3164367,2123.31,2.074,1464.15,666.01,9.39,8.24,Moderate
SUB1144356,448.87,0.438,330.72,78.53,3.58,4.98,Very_Light
