user_id,measurement_date,hours_streaming,hours_social,hours_messaging,hours_gaming,streaming_data_mb,social_data_mb,messaging_data_mb,gaming_data_mb,total_data_mb,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,data_usage_category
SUB1103355,2026-03-19,0.04,0.11,0.34,0.11,64.12,31.96,6.63,12.6,200.36,1,1,55+,Prepaid_Daily,Mid_Range,4G+,Very_Light
SUB2262752,2026-03-25,0.54,0.26,0.52,0.34,589.89,45.88,3.11,54.62,748.08,0,0,25-34,Prepaid_Daily,Mid_Range,4G,Light
SUB6664789,2026-04-02,0.53,6.0,2.85,1.21,1012.37,2088.23,22.65,128.55,3226.57,1,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G+,Moderate
SUB6743066,2026-03-25,1.18,1.43,0.08,0.28,962.95,395.96,0.72,21.72,1491.05,0,1,35-44,Postpaid_Basic,Mid_Range,4G,Light
SUB7113790,2026-03-24,0.14,1.93,0.06,0.01,317.0,650.52,0.73,0.87,1089.85,0,0,25-34,Prepaid_Daily,Mid_Range,5G,Light
SUB5721339,2026-04-17,0.54,0.06,0.02,0.25,849.5,12.25,0.28,36.88,1052.88,0,0,55+,Prepaid_Monthly,Premium_Smartphone,4G+,Light
SUB4275709,2026-04-02,3.94,0.29,0.48,0.52,7001.06,83.85,3.28,51.94,6910.04,0,1,25-34,Prepaid_Daily,5G_Device,5G,Heavy
SUB1084654,2026-03-19,1.27,3.4,0.27,0.91,547.23,309.4,1.46,118.48,1013.04,1,0,18-24,Postpaid_Basic,Premium_Smartphone,3G,Light
SUB6147581,2026-03-22,0.23,0.31,0.66,0.16,90.69,41.94,13.14,8.98,230.66,1,1,55+,Prepaid_Monthly,Premium_Smartphone,3G,Very_Light
SUB2954354,2026-04-01,0.15,1.18,1.16,0.59,201.39,215.41,22.34,115.56,616.42,0,1,45-54,Postpaid_Unlimited,Tablet,4G,Light
SUB9242680,2026-03-23,0.81,2.36,0.17,1.79,625.19,365.91,1.34,166.79,1160.44,1,1,18-24,Prepaid_Monthly,Mid_Range,4G,Light
SUB3428388,2026-04-03,0.26,0.17,0.04,0.2,588.82,59.76,0.22,31.85,645.24,0,0,55+,Postpaid_Basic,Basic_Phone,5G,Light
SUB9916786,2026-03-22,0.45,0.47,0.76,0.33,864.67,147.63,9.66,51.96,1269.31,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,Light
SUB3663046,2026-03-24,0.29,0.23,0.21,0.04,281.42,68.01,2.18,6.98,445.18,0,1,25-34,Prepaid_Monthly,Mid_Range,4G,Very_Light
SUB6499720,2026-04-07,0.26,0.58,0.2,0.11,383.16,154.53,2.64,19.66,598.42,0,0,55+,Postpaid_Premium,Mid_Range,4G,Light
SUB7640913,2026-04-11,1.91,6.0,0.27,0.02,4666.55,1571.69,3.65,3.6,6931.48,0,0,25-34,Postpaid_Premium,Mid_Range,5G,Heavy
SUB4416664,2026-04-10,2.45,2.77,0.49,0.01,2686.06,479.51,8.43,1.84,3032.2,0,0,18-24,Prepaid_Monthly,Premium_Smartphone,4G,Moderate
SUB4385659,2026-04-08,2.25,0.07,0.05,0.0,5189.72,24.82,0.74,0.0,4988.23,0,0,25-34,Postpaid_Basic,Mid_Range,5G,Moderate
SUB4385357,2026-04-16,0.63,0.84,0.01,0.0,1049.01,214.58,0.16,0.0,1185.49,1,0,35-44,Postpaid_Premium,Mid_Range,4G,Light
SUB2465689,2026-04-02,0.94,0.94,0.48,0.25,779.27,261.99,8.75,21.73,1090.14,0,0,18-24,Prepaid_Monthly,Mid_Range,4G,Light
SUB1068148,2026-04-16,0.36,0.22,0.51,0.08,577.89,53.68,8.59,7.43,806.31,1,0,35-44,Prepaid_Daily,Mid_Range,4G+,Light
SUB2825665,2026-04-17,3.41,0.91,1.13,0.92,2901.33,138.64,6.49,90.64,3138.81,0,1,35-44,Prepaid_Monthly,5G_Device,4G,Moderate
SUB3745683,2026-03-26,4.36,2.82,0.79,0.05,7728.33,1022.23,8.16,2.77,8172.16,0,0,25-34,Postpaid_Basic,Tablet,5G,Heavy
SUB5056518,2026-03-21,0.21,0.92,0.38,0.19,230.15,239.52,6.83,34.72,629.19,0,0,35-44,Prepaid_Daily,5G_Device,4G,Light
SUB3669995,2026-03-31,1.06,0.3,0.69,0.27,929.41,78.39,8.73,16.22,1180.6,1,0,45-54,Prepaid_Monthly,Tablet,4G,Light
SUB5997895,2026-03-25,0.53,0.61,0.06,0.7,564.76,212.11,0.36,86.26,832.87,0,0,25-34,Postpaid_Basic,Mid_Range,4G+,Light
SUB7397986,2026-04-14,3.06,1.59,0.18,4.21,12407.4,534.0,1.54,618.87,14371.72,0,0,25-34,Postpaid_Unlimited,5G_Device,5G,Power_User
SUB2870928,2026-04-14,0.27,4.47,1.45,0.26,475.58,940.4,8.31,40.57,1656.97,1,1,25-34,Prepaid_Monthly,Mid_Range,4G+,Light
SUB5155299,2026-04-05,0.14,0.88,0.22,0.11,225.0,222.81,2.33,14.73,663.71,1,0,35-44,Prepaid_Daily,Premium_Smartphone,4G+,Light
SUB7249859,2026-03-22,1.46,2.14,0.29,0.06,562.55,203.11,5.18,7.07,834.47,1,0,45-54,Postpaid_Basic,Mid_Range,3G,Light
SUB3305413,2026-04-02,5.39,1.9,0.01,0.05,8940.18,415.2,0.18,5.8,9130.95,0,0,25-34,Prepaid_Monthly,5G_Device,4G+,Heavy
SUB4910197,2026-04-08,0.11,0.81,0.06,0.29,38.09,110.55,1.01,43.54,215.31,1,1,25-34,Prepaid_Monthly,Basic_Phone,3G,Very_Light
SUB6558019,2026-04-12,0.09,1.1,1.12,0.32,36.51,164.97,6.82,43.65,285.11,0,0,25-34,Postpaid_Basic,Mid_Range,3G,Very_Light
SUB6414709,2026-04-14,1.3,3.05,0.95,0.42,4394.95,1214.64,9.72,33.83,6159.82,1,1,35-44,Postpaid_Unlimited,5G_Device,5G,Heavy
SUB1271836,2026-04-03,1.77,2.26,1.09,0.03,2206.78,359.03,20.22,4.13,2992.26,1,1,18-24,Postpaid_Premium,Premium_Smartphone,4G,Moderate
SUB4584702,2026-03-19,1.24,1.44,0.84,1.31,1938.98,365.57,15.52,223.44,2566.79,0,1,45-54,Prepaid_Daily,Premium_Smartphone,4G+,Moderate
SUB8281369,2026-04-12,0.59,1.06,1.99,0.27,767.54,166.5,39.35,51.7,1057.93,0,1,25-34,Postpaid_Premium,Premium_Smartphone,4G,Light
SUB3299435,2026-03-23,0.23,0.26,0.12,0.1,191.02,70.97,2.37,19.29,307.67,0,1,35-44,Prepaid_Monthly,Mid_Range,4G,Very_Light
SUB9585377,2026-04-08,0.77,1.99,0.02,0.15,253.87,294.65,0.15,10.33,594.57,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,3G,Light
SUB3658505,2026-03-22,0.6,1.25,0.08,0.18,911.29,190.1,1.52,13.47,1116.5,1,0,35-44,Postpaid_Unlimited,Basic_Phone,4G,Light
SUB2271741,2026-04-14,2.4,5.25,0.92,2.03,4102.1,1172.99,12.83,340.12,6263.57,0,0,18-24,Postpaid_Unlimited,5G_Device,4G,Heavy
SUB4769315,2026-03-23,0.67,0.76,0.55,0.46,323.31,81.51,5.65,63.77,488.47,1,0,35-44,Prepaid_Daily,Premium_Smartphone,3G,Very_Light
SUB2046797,2026-04-11,3.31,1.51,0.49,0.49,5753.78,447.81,9.18,73.76,6795.09,0,0,18-24,Prepaid_Daily,5G_Device,5G,Heavy
SUB4047262,2026-04-06,1.81,2.1,1.11,1.07,1907.72,523.82,18.9,90.87,2547.41,0,1,18-24,Prepaid_Monthly,Premium_Smartphone,4G+,Moderate
SUB1564685,2026-04-09,0.39,0.54,1.37,0.03,415.27,102.41,16.16,5.76,528.85,0,0,25-34,Postpaid_Basic,Mid_Range,4G,Light
SUB3879190,2026-04-01,8.0,1.13,0.47,1.58,12288.67,317.81,3.06,191.3,13079.75,1,1,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,Power_User
SUB6596411,2026-04-02,1.38,0.44,0.45,0.12,528.31,52.68,8.95,18.0,607.89,0,0,18-24,Prepaid_Daily,Mid_Range,3G,Light
SUB2007293,2026-04-01,3.44,1.2,0.16,0.39,3843.23,320.67,2.55,56.21,4497.23,0,0,18-24,Prepaid_Monthly,Mid_Range,4G,Moderate
SUB5774183,2026-04-02,0.65,1.57,0.09,0.37,543.06,268.65,1.64,25.63,975.95,1,0,45-54,Prepaid_Monthly,5G_Device,4G,Light
SUB4366612,2026-04-12,0.1,0.07,0.02,0.11,102.77,16.66,0.15,16.95,190.97,0,0,45-54,Prepaid_Daily,Mid_Range,4G,Very_Light
SUB9411855,2026-04-06,0.46,1.99,4.0,0.39,938.72,530.76,66.78,44.52,1780.74,1,1,18-24,Postpaid_Premium,Premium_Smartphone,5G,Light
SUB6267180,2026-04-14,0.27,0.25,0.2,0.03,173.79,25.81,2.21,3.84,207.54,0,0,35-44,Postpaid_Premium,Basic_Phone,3G,Very_Light
SUB8807313,2026-03-24,0.15,0.18,0.04,0.19,49.26,15.08,0.46,31.95,115.81,0,0,25-34,Prepaid_Monthly,Basic_Phone,3G,Very_Light
SUB3704238,2026-03-25,0.36,1.45,1.25,0.11,617.06,379.23,11.33,5.54,1064.49,0,0,35-44,Prepaid_Daily,Premium_Smartphone,4G+,Light
SUB3630708,2026-03-28,1.94,0.46,0.33,0.43,4838.98,174.48,5.81,34.37,5260.55,0,0,45-54,Prepaid_Daily,5G_Device,5G,Heavy
SUB4494679,2026-04-07,1.87,0.4,0.57,0.13,1939.76,112.62,8.64,8.91,1939.82,0,0,18-24,Postpaid_Basic,Premium_Smartphone,4G,Light
SUB6517209,2026-04-04,0.89,0.27,0.48,0.61,1486.03,80.83,8.73,55.06,1747.45,1,0,45-54,Prepaid_Monthly,Mid_Range,5G,Light
SUB2767640,2026-04-08,0.88,1.68,0.55,0.32,709.95,502.69,4.17,19.08,1353.0,1,0,25-34,Postpaid_Basic,Mid_Range,4G,Light
SUB7723771,2026-03-23,2.03,0.85,0.53,1.11,3087.71,257.27,9.82,189.96,3883.11,0,0,35-44,Prepaid_Monthly,5G_Device,5G,Moderate
SUB2285160,2026-03-31,0.63,2.61,0.52,0.1,1097.69,849.35,6.66,15.46,2032.72,0,1,35-44,Prepaid_Monthly,Premium_Smartphone,4G+,Light
SUB7080526,2026-04-17,0.04,1.22,0.37,0.05,47.29,362.87,3.66,9.0,476.7,1,0,55+,Postpaid_Premium,Tablet,4G,Very_Light
SUB6173036,2026-04-05,0.32,0.52,0.2,0.24,560.87,203.18,3.92,46.27,810.3,0,0,18-24,Prepaid_Daily,Basic_Phone,5G,Light
SUB2425472,2026-04-13,2.02,6.0,4.0,0.01,5040.66,1921.07,69.08,1.17,7210.48,1,0,18-24,Postpaid_Premium,5G_Device,5G,Heavy
SUB1048984,2026-03-25,6.9,6.0,0.2,0.22,12992.5,2318.7,2.15,37.6,14037.03,1,0,18-24,Postpaid_Basic,5G_Device,5G,Power_User
SUB7556168,2026-03-28,1.61,1.06,0.06,0.35,3987.92,232.58,0.63,21.6,4771.47,1,0,55+,Postpaid_Premium,5G_Device,4G+,Moderate
SUB2504384,2026-04-01,0.64,0.21,0.02,0.08,576.3,45.57,0.17,8.54,606.16,1,0,35-44,Prepaid_Daily,Basic_Phone,4G,Light
SUB3230919,2026-04-06,1.57,4.49,0.67,0.39,6897.87,1351.71,7.62,69.43,7880.37,1,1,35-44,Postpaid_Premium,Premium_Smartphone,5G,Heavy
SUB7940119,2026-04-01,3.56,0.8,0.06,0.23,5863.53,220.18,0.59,30.24,6802.97,1,0,18-24,Prepaid_Daily,Premium_Smartphone,4G+,Heavy
SUB2737095,2026-03-26,1.16,1.58,0.5,0.6,1588.92,421.02,6.92,99.02,2126.11,0,0,45-54,Postpaid_Unlimited,Premium_Smartphone,4G,Moderate
SUB5780450,2026-04-16,0.34,1.18,0.05,0.35,193.12,170.68,0.43,37.91,480.55,1,1,45-54,Postpaid_Premium,Premium_Smartphone,3G,Very_Light
SUB8469344,2026-04-09,7.32,0.22,0.39,0.47,12771.56,73.66,6.71,49.23,14232.63,0,1,35-44,Prepaid_Monthly,Premium_Smartphone,5G,Power_User
SUB3109818,2026-04-15,3.11,0.19,0.56,0.46,5462.72,70.95,10.3,58.06,5921.59,0,0,25-34,Prepaid_Monthly,Tablet,5G,Heavy
SUB3231785,2026-04-10,1.05,4.93,0.15,1.21,1879.75,775.48,2.09,227.48,2846.15,1,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G,Moderate
SUB4853339,2026-03-21,8.0,4.11,0.27,0.3,14153.41,1228.04,4.46,51.29,15219.3,1,1,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,Power_User
SUB1996107,2026-04-06,7.1,3.64,1.89,2.32,18870.24,1002.72,33.07,391.25,21526.37,0,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G+,Power_User
SUB8130144,2026-04-17,7.37,1.98,0.51,6.0,9182.99,359.78,7.9,652.25,9777.82,0,0,18-24,Postpaid_Premium,Premium_Smartphone,4G,Heavy
SUB5545583,2026-04-06,0.96,4.06,0.52,0.84,1601.07,915.83,3.52,83.38,2527.54,1,0,35-44,Postpaid_Premium,Mid_Range,4G,Moderate
SUB4747389,2026-04-08,0.15,0.59,0.07,0.32,257.51,140.31,0.47,59.66,533.17,0,0,25-34,Postpaid_Basic,Mid_Range,4G+,Light
SUB5142807,2026-03-26,0.12,0.76,0.42,0.01,102.61,163.9,7.49,1.57,366.16,0,1,45-54,Prepaid_Daily,5G_Device,4G,Very_Light
SUB8988004,2026-04-16,0.56,0.83,0.22,0.03,1018.08,261.23,3.23,1.57,1430.07,0,0,25-34,Prepaid_Daily,Basic_Phone,5G,Light
SUB7245035,2026-04-12,6.31,1.4,0.89,0.58,10563.1,452.55,15.02,48.56,10118.28,0,0,18-24,Postpaid_Basic,5G_Device,5G,Heavy
SUB4602279,2026-03-27,4.01,3.02,0.01,0.53,7141.85,769.36,0.08,34.26,7887.58,0,0,25-34,Prepaid_Monthly,5G_Device,4G+,Heavy
SUB6515989,2026-04-16,2.04,2.62,0.66,0.32,2428.15,569.34,9.91,21.08,2966.77,0,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,Moderate
SUB3121690,2026-03-23,3.69,6.0,1.06,0.76,5763.58,1813.47,19.54,112.59,7136.6,1,0,18-24,Prepaid_Monthly,5G_Device,4G+,Heavy
SUB1491234,2026-03-21,0.44,0.18,0.14,0.38,499.44,44.41,0.92,72.19,622.49,0,0,45-54,Postpaid_Basic,Premium_Smartphone,4G,Light
SUB6401218,2026-04-07,1.09,1.11,0.83,0.0,919.56,323.95,7.27,0.0,1324.13,0,1,18-24,Prepaid_Monthly,Mid_Range,4G,Light
SUB7914550,2026-03-22,0.15,1.45,1.02,0.19,153.09,416.64,9.97,23.1,689.26,0,0,25-34,Postpaid_Basic,Mid_Range,4G,Light
SUB7167294,2026-03-19,0.76,1.04,1.91,0.12,569.27,277.57,12.88,7.34,1030.25,0,0,18-24,Postpaid_Basic,5G_Device,4G,Light
SUB7906726,2026-04-04,0.34,1.35,0.67,0.38,257.84,398.56,4.69,44.22,770.26,0,0,18-24,Prepaid_Daily,Tablet,4G,Light
SUB6888794,2026-04-15,2.27,0.1,1.33,3.8,6081.5,23.16,7.72,487.56,6993.31,0,1,25-34,Postpaid_Unlimited,Mid_Range,4G+,Heavy
SUB8558158,2026-04-12,1.01,2.03,0.72,0.18,2124.35,514.33,9.48,16.34,2841.82,1,0,18-24,Postpaid_Basic,Mid_Range,5G,Moderate
SUB7510425,2026-04-02,2.36,1.33,0.71,0.04,7096.44,466.41,13.66,4.39,7213.91,1,0,35-44,Postpaid_Unlimited,Mid_Range,5G,Heavy
SUB9511017,2026-04-16,4.21,5.8,2.12,0.97,8165.67,1559.94,39.47,130.26,9843.33,1,1,18-24,Prepaid_Monthly,Premium_Smartphone,5G,Heavy
SUB8887739,2026-03-28,0.58,0.43,0.39,0.04,630.38,118.22,2.76,3.99,964.34,1,1,35-44,Prepaid_Daily,Premium_Smartphone,4G,Light
SUB1769598,2026-04-04,2.0,3.43,0.7,1.38,1802.41,986.09,7.43,95.19,3243.15,0,1,18-24,Prepaid_Daily,Premium_Smartphone,4G,Moderate
SUB6292895,2026-03-27,2.41,2.67,0.49,0.99,2469.34,729.82,7.0,172.31,3696.18,0,1,18-24,Prepaid_Daily,5G_Device,4G,Moderate
SUB8971379,2026-04-05,0.2,1.56,0.13,0.11,84.09,203.99,1.42,5.05,331.2,0,0,25-34,Prepaid_Daily,Premium_Smartphone,3G,Very_Light
SUB4331068,2026-03-27,0.48,0.23,0.05,0.02,378.33,43.9,0.42,2.09,457.44,1,0,45-54,Prepaid_Daily,Mid_Range,4G,Very_Light
SUB4256415,2026-03-19,2.4,1.52,0.11,0.14,7441.22,428.52,1.94,27.33,8058.84,0,0,35-44,Postpaid_Unlimited,Mid_Range,5G,Heavy
SUB1874371,2026-04-16,2.94,0.89,0.27,0.35,3715.27,133.74,3.59,48.63,4019.84,0,0,45-54,Postpaid_Unlimited,5G_Device,4G,Moderate
SUB6654237,2026-04-11,4.68,6.0,3.34,0.65,15912.55,1763.57,47.09,69.21,16862.94,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,5G,Power_User
SUB1973548,2026-03-23,0.9,0.76,0.0,0.1,1094.32,188.36,0.0,14.48,1310.14,0,0,45-54,Postpaid_Unlimited,Mid_Range,4G,Light
SUB4344014,2026-04-10,0.45,0.55,0.04,1.94,353.01,87.56,0.72,121.28,638.99,1,1,18-24,Postpaid_Basic,Mid_Range,4G,Light
SUB8064746,2026-04-04,0.73,1.91,0.79,0.52,616.57,456.68,4.19,32.89,1265.35,0,0,18-24,Postpaid_Basic,5G_Device,4G,Light
SUB7216204,2026-03-28,1.27,0.87,0.26,0.27,2207.26,227.54,4.25,24.59,2684.39,0,0,35-44,Prepaid_Daily,Mid_Range,5G,Moderate
SUB6193542,2026-04-13,2.12,0.22,0.59,0.31,2493.88,55.34,6.14,46.21,2791.03,0,0,25-34,Prepaid_Daily,Premium_Smartphone,4G,Moderate
SUB3959034,2026-04-03,0.19,1.55,0.03,0.15,384.09,383.32,0.29,11.21,992.66,0,1,55+,Postpaid_Premium,Premium_Smartphone,4G,Light
SUB5574293,2026-03-30,8.0,3.2,2.24,0.58,12935.65,905.34,33.05,113.65,15350.62,0,0,18-24,Postpaid_Unlimited,Mid_Range,4G,Power_User
SUB7706971,2026-03-27,1.0,0.91,0.45,0.09,3217.03,290.99,5.43,14.48,3709.13,0,0,55+,Postpaid_Premium,Premium_Smartphone,5G,Moderate
SUB1043585,2026-03-24,0.34,2.72,0.2,0.1,1298.17,811.43,1.63,13.26,2066.4,0,0,35-44,Postpaid_Premium,Mid_Range,5G,Moderate
SUB3539448,2026-03-26,0.54,0.65,0.06,0.01,644.48,109.93,1.18,0.62,812.98,0,0,35-44,Prepaid_Monthly,Mid_Range,4G,Light
SUB1109556,2026-03-24,2.05,0.4,0.02,0.32,937.09,52.48,0.16,49.08,1128.68,0,1,18-24,Postpaid_Basic,Mid_Range,3G,Light
SUB2575557,2026-04-04,4.3,0.58,0.67,0.19,4694.01,126.28,8.26,24.51,4520.89,0,0,25-34,Postpaid_Basic,Premium_Smartphone,4G,Moderate
SUB9306461,2026-03-23,2.45,1.85,0.12,0.69,4117.59,400.46,0.62,32.58,4347.54,0,1,55+,Postpaid_Unlimited,5G_Device,4G,Moderate
SUB3009021,2026-04-02,1.43,3.45,0.55,0.04,3315.59,779.28,10.42,3.58,3826.21,0,1,25-34,Postpaid_Unlimited,Mid_Range,4G+,Moderate
SUB2201482,2026-03-23,0.73,0.94,0.72,1.82,817.24,242.53,12.21,180.04,1223.65,1,1,35-44,Postpaid_Basic,5G_Device,4G,Light
SUB1542335,2026-04-01,0.1,0.01,0.06,0.05,91.68,1.86,0.77,4.3,124.07,0,0,55+,Prepaid_Daily,Basic_Phone,4G,Very_Light
SUB5270070,2026-04-13,3.59,2.05,0.11,0.24,3478.7,446.19,1.13,30.96,4259.63,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,4G,Moderate
SUB7700379,2026-04-17,1.15,0.88,0.96,0.04,2371.69,312.35,18.18,5.49,3055.21,0,0,35-44,Prepaid_Monthly,Premium_Smartphone,5G,Moderate
SUB4560920,2026-03-21,0.48,3.34,0.56,1.93,937.54,1150.52,6.86,256.55,2410.84,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G+,Moderate
SUB7860006,2026-04-16,1.15,0.13,0.12,0.08,397.75,15.77,0.83,11.27,413.12,0,0,18-24,Prepaid_Daily,Mid_Range,3G,Very_Light
SUB3484413,2026-03-24,0.3,0.25,0.6,0.07,488.61,64.87,8.61,10.89,555.58,0,0,18-24,Prepaid_Monthly,Basic_Phone,5G,Light
SUB3907360,2026-03-22,1.3,0.4,2.36,0.45,1019.5,102.24,18.92,41.8,1277.83,0,0,25-34,Prepaid_Monthly,Premium_Smartphone,4G,Light
SUB6895544,2026-04-01,0.24,1.81,0.56,0.08,678.34,570.33,5.05,12.06,1240.44,0,0,25-34,Postpaid_Unlimited,Basic_Phone,5G,Light
SUB6697469,2026-03-19,0.58,1.82,0.09,0.9,415.85,405.71,1.62,76.3,883.51,0,0,35-44,Postpaid_Basic,5G_Device,4G,Light
SUB3235000,2026-03-30,0.51,0.19,0.17,0.3,232.98,25.15,0.93,22.24,295.37,0,0,18-24,Postpaid_Basic,Mid_Range,3G,Very_Light
SUB7908531,2026-03-25,0.24,0.07,0.0,0.42,436.06,25.2,0.0,30.17,581.47,0,0,55+,Prepaid_Monthly,Mid_Range,5G,Light
SUB5322252,2026-03-25,0.23,0.76,0.32,0.48,455.92,213.57,1.75,62.51,780.82,0,0,18-24,Prepaid_Daily,Mid_Range,5G,Light
SUB6822184,2026-04-06,1.59,0.5,0.59,1.0,2208.39,166.77,8.56,142.46,2545.23,0,0,35-44,Prepaid_Monthly,Premium_Smartphone,4G+,Moderate
SUB1402690,2026-03-22,0.48,0.97,1.49,0.08,653.79,248.7,17.94,14.72,1103.98,0,0,35-44,Postpaid_Premium,5G_Device,4G,Light
SUB3548421,2026-04-03,0.38,4.03,0.04,0.04,262.3,384.08,0.66,7.6,763.95,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,3G,Light
SUB2954109,2026-03-21,1.91,0.25,0.22,0.03,1596.39,64.56,2.31,3.85,1757.07,0,0,18-24,Postpaid_Basic,Basic_Phone,4G,Light
SUB5422880,2026-04-12,1.65,1.28,0.12,0.02,3807.37,399.45,0.6,3.79,4730.84,0,0,45-54,Prepaid_Monthly,5G_Device,5G,Moderate
SUB8205547,2026-03-31,1.34,0.25,0.32,0.0,2186.34,44.71,3.54,0.0,2269.35,0,1,45-54,Postpaid_Premium,Basic_Phone,4G,Moderate
SUB9323735,2026-03-20,2.41,6.0,0.14,1.96,6829.65,2065.58,2.04,327.25,9286.82,0,1,25-34,Postpaid_Premium,Premium_Smartphone,5G,Heavy
SUB7457294,2026-04-07,1.44,1.92,0.14,0.04,520.28,234.38,2.54,1.65,874.89,0,0,25-34,Prepaid_Daily,5G_Device,3G,Light
SUB2384250,2026-03-22,0.41,0.21,0.0,0.0,146.65,23.57,0.0,0.0,205.41,0,0,25-34,Prepaid_Monthly,Mid_Range,3G,Very_Light
SUB1061087,2026-04-05,3.19,1.88,0.02,1.09,9470.01,728.04,0.23,98.12,10401.29,0,0,18-24,Postpaid_Premium,Mid_Range,5G,Power_User
SUB7409907,2026-03-28,0.51,0.11,0.05,0.14,608.78,30.38,0.88,7.95,654.71,1,0,35-44,Postpaid_Basic,Basic_Phone,4G,Light
SUB2496176,2026-03-19,0.25,1.56,0.85,0.94,323.2,393.37,16.56,136.86,1009.56,0,0,45-54,Postpaid_Unlimited,5G_Device,4G,Light
SUB1039353,2026-04-07,8.0,0.52,0.11,2.72,21618.27,165.49,1.23,267.93,23171.37,0,0,25-34,Postpaid_Unlimited,Premium_Smartphone,5G,Power_User
SUB7484531,2026-03-22,0.38,0.29,0.04,0.19,180.81,33.54,0.69,11.15,242.77,1,0,55+,Prepaid_Daily,Mid_Range,3G,Very_Light
SUB4360011,2026-04-10,8.0,3.5,4.0,0.1,30498.99,1137.79,58.14,4.39,31075.13,1,0,18-24,Postpaid_Premium,Mid_Range,5G,Power_User
SUB8654909,2026-03-31,0.92,0.97,0.26,0.1,321.35,136.5,4.83,5.83,489.63,1,0,35-44,Prepaid_Monthly,Premium_Smartphone,3G,Very_Light
SUB5259622,2026-04-08,2.43,2.17,0.51,0.27,9199.0,583.79,6.42,30.12,9133.24,0,0,25-34,Postpaid_Premium,Mid_Range,5G,Heavy
SUB5959617,2026-03-26,1.3,2.0,4.0,1.3,1459.23,305.53,35.43,200.25,2028.5,0,1,25-34,Postpaid_Basic,Mid_Range,4G,Light
SUB6725570,2026-03-26,5.01,4.52,0.17,0.05,4127.66,1355.67,2.44,9.87,5207.92,1,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,Heavy
SUB1416880,2026-04-09,1.9,4.19,0.45,1.51,4314.35,1286.71,4.58,96.58,6072.48,1,0,25-34,Postpaid_Unlimited,Premium_Smartphone,5G,Heavy
